0,1,2,3,4,5,6,7,8
"Table 52: Projection of the supply of Medical Technologists- Radiography & Imaging
according to scenarios 3-4",,,,,,,"Total popu-
lation in BD
(2018, 2024
& 2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total Sup-
ply",,
,"Gradu-
ates",Increase,95%,,,,,
2018,,,,,,3435,164600000,0.21
2019,354,,336,,137,3634,,
2020,373,,354,,145,3843,,
2021,399,,379,,154,4068,,
2022,399,,379,,163,4285,,
2023,399,,379,,171,4492,,
2024,399,,379,,180,4692,174612904,0.27
2025,399,,379,,188,4883,,
2026,399,,379,,195,5067,,
2027,399,,379,,203,5243,,
2028,399,,379,,210,5412,,
2029,399,,379,,216,5575,,
2030,399,,379,,223,5731,190686952,0.30
Source: BBS Pop Projection 2011-2061,,,,,,,,
