0,1,2,3
Name of the post,Sanctioned,Filled up,Vacant
Director General,1,1,0
Director/equivalent,18,0,18
Deputy Director/equivalent,88,0,88
Assistant Director/equivalent (all categories),160,5,155
Medical Officer (all categories),1055,945,110
Family Planning Officer (all categories),485,342,143
Junior Consultant,9,0,9
Assistant Surgeon,6,0,6
Assistant Upazila Family Planning Officer,485,306,179
Assistant Family Planning Officer (MCHFP),464,138,326
Family Welfare Visitor,5710,4354,1356
Family Welfare Assistant,23500,17308,6192
Family Planning Inspector,4500,4103,397
Family Planning Assistant,1455,1371,84
Pharmacist,806,634,172
Sub Assistant Community Medical Officer (SACMO),2500,2144,356
