0,1,2
1.,Nursing Institutes (Public + Private),84
2.,Duration of Diploma Courses,4 years
3.,Annual enrolment of nurses in the Nursing Institutes –both Public &Private,3670
4.,Annual production/turnout of the Nursing Institutes –both public &private,2700
5.,Annual Post Basic B.Sc. nursing + B.Sc. Public Health enrolment,950
6.,Degree holders in B. Sc. nursing,1075
7.,Registered nurses,25498
8.,Teacher-student ratio,1: 27
9.,*Teacher-student ratio in the Nursing Institute attached to DMCH,1: 89
10.,Teacher-student ratio as per international standard,1: 8
11.,%of Male - in the nursing Institutes (Basic) to the Medical College Hospitals,10.0
