0,1,2,3,4,5,6,7,8,9,10,11
Indicators,Issue,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"Crude Birth
rate/1000",National,19.2,19.0,18.9,20.1,20.9,20.8,20.7,20.6,20.9,20.5
,Urban,13.8,13.7,13.6,16.6,17.9,17.8,17.8,17.5,17.4,17.2
,Rural,20.9,20.8,20.7,21.0,21.7,21.6,21.7,20.7,22.1,22.4
"Crude Death
rate/1000",National,5.1,4.9,4.8,5.1,5.9,5.8,5.8,5.6,6.3,6.0
,Urban,3.5,3.5,3.4,3.8,4.7,4.4,4.9,4.4,5.2,5.1
,Rural,5.4,5.3,5.2,5.4,6.2,6.1,6.1,6.0,6.6,6.5
"Average
Marriage Age",Male,27.7,27.7,25.8,25.6,25.2,25.3,23.0,23.4,23.6,23.8
,Female,20.3,20.4,20.4,20.6,20.4,19.0,17.9,18.1,18.4,19.1
Population per Physician,,4439,4218,3811,3590,3532,3137,3261,3110,2991,
"Average life
expectancy
(Years)",National,62.7,63.6,64.2,64.9,64.9,65.1,65.2,65.4,66.6,66.8
,Urban,64.2,65.3,66.4,67.2,67.6,67.8,67.9,68.0,68.1,68.3
,Rural,61.1,62.1,63.2,64.4,64.3,64.3,64.5,64.6,66.0,66.2
"Infant mortality
rate: Neonate,
under one
year/1000",National,59,58,56,53,53,52,50,45,43,41.0
,Urban,46,44,43,37,40,41,44,38,42,40
,Rural,63,62,60,57,57,55,51,47,43,42
"Child mortality
rate: 1-4
years/1000",National,5.7,4.2,4.1,4.6,4.6,4.5,4.1,3.9,3.6,3.1
"Maternal
Mortality/1000",National,3.2,3.2,3.2,3.9,3.8,3.7,3.48,3.37,3.5,3.5
,Urban,2.6,2.6,2.6,2.7,2.7,2.5,2.7,1.9,2.2,2.4
,Rural,3.3,3.3,3.3,4.2,4,3.9,3.58,3.75,3.9,3.9
"Contraceptive prevalence
rate (%)",,53.6,53.6,53.9,53.4,55.1,56.0,57.0,58.3,59.0,52.6
Fertility rate (Per Women),,2.6,2.6,2.6,2.6,2.6,2.6,2.46,2.41,2.39,2.30
