0,1,2,3,4,5,6
Designation: Class-1,"Pay
Scale","Sanctioned
Post",Male,Female,Total,Vacant
"Director General, ADG, Director,
OSD",02,6,4,1,5,1
"Director Cum Professor,
Principal, , etc",03,505,288,51,339,166
"Deputy Director, Principal,
Associate Professor, etc.",04,670,354,75,429,241
"Asst. Director, Civil Surgeon,
OSD etc.",05,536,321,36,357,179
"Associate Professor, Asst.
Professor, RMO, RS, UH&FPO,
RP, etc",06,"4,144","2,246",432,"2,678","1,466"
"TH&FPO, Specialist, RMO, etc",07,584,347,72,419,165
"Asst. Professor, Registrar, MO,
etc",08,26,18,3,21,5
"Registrar, RMO, MO, SLPP, ,
OSD etc",09,"12,548","5,999","1,968","7,967","4,581"
Total :,,"19,019","9,577","2,638","12,215","6,804"
