0,1,2,3,4,5
No.,"Name of Medical
College/Institute",No.,Name of Medical College/Institute,No.,"Name of Medical
College/Institute"
1.,"Bangabandhu Sheikh
Mujib Medical University
(Controller’s Office)",11.,"Shaheed Zaiaur Rahman Medical
College",21.,"Institute of Nuchlear Medicine &
Ultrasound, Dhaka"
2.,"Dhaka Medical College,
Dhaka",12.,"Bangladesh Institute of research &
Rehabilitation in Diabetes, Endocrine
& Metabolic Disorders (BIRDEM),
Dhaka",22.,"Institute of Child & Mother
Health (ICMH), Dhaka"
3.,"Sir Salimullah Medical
College, Dhaka",13.,"National Institute of Preventive and
Social Medicine (NIPSOM), Dhaka",23.,"Bangladesh Institute of Health
Sciences (BICH), Dhaka"
4.,"Mymenshigh Medical
College",14.,"National Institute of Cardiovascular
Diseases (NICVD), Dhaka",24.,"Bangladesh Institute of Child
Health (BICH), Dhaka"
5.,"Chittagong Medical
College",15.,"National Institute of Chest Diseases &
Hospital (NIDCH), Dhaka",25.,"Centre for Medical Education
(CME), Dhaka"
6.,Rajshahi Medical College,16.,"National Institute of Kidney Diseases
& Urology (NIKDU), Dhaka",26.,"Lions Eye Institute & Hospital,
Dhaka"
7.,"Sylhet MAG Osmani
Medical College, Sylhet",17.,"National Institute of Traumatology &
Orthopaedics Rehabilitation (NITOR),
Dhaka",27.,"National Heart Foundation
Hospital & Research Institute,
Dhaka"
8.,Rangpur Medical College,18.,"National Institute of Opthalmology,
(NIO), Dhaka",28.,"Islamia Eye Hospital & MA
Ispahani Institute of
Opthalmology, Dhaka"
9.,"Sher-e-Bangla Medical
College",19.,"National Institute of Mental Health
(NIMH), Dhaka",29.,"Institute of Child Health &
Shishu Sasthya Foundation
Hospital, Dhaka"
10.,Dhaka Dental College,20.,"National Cancer Research Institute &
Hospital, Dhaka",30.,"Institute of Child Health,
Chittagong"
31.,"Institute of Community
Opthalmology,Chittagong",32.,"Khwaja Yunus Ali Medical College,
Sirajganj",,
