0,1,2,3,4,5,6
Table 6: Departments at NICRH (2023),,,,,,
Sl. No.,,Name of the departments,,,,Unit
1,,Department of Radiation Oncology,,,,3
2,,,Department of Medical Oncology,,,1
3,,,Department of Surgical Oncology,,,4
,4,,Department of G,ynaecological Oncology,,2
,5,Department of C,,ancer Epidemiology & MIS,,1
6,,Department of Haematology,,,,1
7,,Department of Paediatric Haematology & Oncology,,,,1
,8,Department of R,,adiology & Imaging,,1
,9,Department of H,,istopathology,,1
,10,,Department of C,ytopathology,,1
11,,,Department of Laboratory Medicine,,,1
