0,1,2,3,4,5,6,7,8
To,tal Number of Anaesthesia performed with different Surgical Unit in 2023,,,,,,,
Un,it,,,GA,,RA,LA,Total
Ga,stro-Intestinal Unit (GIT),,,352,,49,20,421
"Hepatobiliary& Soft Tissue Sarcoma Unit
(HB&STS)",,,,107,,123,23,253
Breast Unit,,,,512,,00,47,559
Gynae-Oncology U,,nit-1(GOU-1),,17,4,170,24,368
Gynae-Oncology U,,nit-2(GOU-2),,27,6,125,15,416
Pl,astic Surgery Onc,ology Unit (PSOU,),7,1,45,46,162
Fa,ciomaxillary Surgery Unit (FMSOU,,),85,,00,55,140
EN,T Unit,,,168,,00,98,266
Orthopaedic Surgery Unit,,,,91,,132,12,235
Urology Unit,,,,18,,251,44,313
Ra,diotherapy,,,06,,-,-,06
To,tal,,,1860,,772,384,3016
