0,1,2,3,4
Sl. No.,,Date,Title / Topic/ journal,Presenter
21,,"Sunday, 30th April 2023","Ribociclib plus letrozole versus
chemotherapy for post menopausal women
with hormone receptor positive, HER 2
negative, luminal B breast cancer
(CORALLEEN): an open lebel, multicenter,
randomized, Phase 2 trial.","Dr. Nayeem Iqbal
MD Phase B Resident
Medical Oncology,
NICRH"
22,,"Sunday, 19 November 2023","“Hepatic and Renal Adverse Events of
Polypharmacy in Elderly Cancer Patients
Receiving Chemotherapy”","Dr. Sajia Sultana
MD (Final part)
Medical Oncology, NICRH."
23,,"26 November, 2023","“Updated management of Oesophageal
cancer according to NCCN guideline”","Students from surgical
oncology faculty on rotation)"
24,,"Wednesday, 25 October 2023","A 22 years old lady presenting with
progressive cough and breathlessness.","Dr. Jaynul Abedin
MD, Thesis Part,
Medical Oncology,
NICRH"
25,,"Sunday, 12 February 2023","“Immuno Oncology: A basic introduction
and overview”","Dr Sufi Hannan Zulfiqur
Rahman
Associate Professor and
Head of Department,
Department of Immunology
and Molecular
Biology."
26,,06/12/23,"Management of Chemotherapy induced
Anaemia& promising approaches
You are cordially invited and requested to
attend in time.","Dr. Md. Rashedul Islam,
Asst. Registrar,
Department of Medical
oncology, NICRH."
27,,13th August 2023,"“Predisposing Factors for Platinum Induced
Nephrotoxicity in patients with Metastatic
Non-Small Cell Lung Cancer.”","Dr. Jaynul Abedin
MD, Thesis Part,
Medical Oncology,
NICRH"
28,,"Sunday, 11th June 2023","Immunotherapy for prostate cancer: A
current systemic review and patient centric
perspectives.","Dr. Muhammad Mazbah
Uddin
MD Thesis Part
Medical Oncology,
NICRH"
29,,"Sunday, 22nd January 2023","A 40 year old lady presented with
abdominal mass","Dr. Radia Afnin
MD Phase B Resident
Medical Oncology,
NICRH"
30,,"Mar 16, 2023","Webinar on Update Management of Colon
Cancer","Dr. Jahangir Alam
MD, Medical Oncology
NICRH, Dhaka"
31,,"Sunday, 23 July 2023","Eliminating breast surgery for invasive
breast cancer in exceptional responders to
neoadjuvant systemic therapy","Dr. Al Mamun FCPS trainee
Surgical Oncology,
NICRH"
32,,"Sunday, 2nd April 2023","A 40-year-old woman presented with
recurrent abdominal swelling","Dr. Md. Aminul Islam
MD Phase B Resident,
Medical Oncology,
NICRH"
