0,1,2,3
SL. No.,,Topic,Presenter
1,,"Demographic characteristics of Pediatric Nasopharyngeal
Carcinoma – 7 Years Experiences from Tertiary Care Centre,
Bangladesh.","Dr. Ferdousi Begum
Dr. SM Rashed Zahangir Kabir
Dr. Farida Yasmin"
2,,"Outcome of Pediatric Nasopharyngeal Carcinoma with
Combined Modalities Treatment – 5 Years Experiences
from NICRH","Dr. Ferdousi Begum
Dr. Farida Yasmin"
3,,"Outcome of Pediatric Rhabdomyosarcoma - challenges for
risk-directed therapy in resource limited setting of
Bangladesh.","Dr. Ferdousi Begum
Dr. Farida Yasmin
Dr.Arif Hossain"
4,,"Clinico-pathological profile of Pediatric Rhabdomyosarcoma
-7year experiences from Tertiary Care Centre, Bangladesh.","Dr. Ferdousi Begum
Dr. Sabina Karim
Dr. Marufa Akter Panna"
5,,"Clinical Profile & Outcome of Malignant Bone Tumor in
Children – 10 Years Experiences at NICRH","Dr. Farida Yasmin
Dr. SM Rashed Zahangir Kabir
Dr. Ferdousi Begum"
6,,"Immunophenotypic Pattern of Childhood Acute Leukemia
in Bangladesh – 1 Year Experiences from NICRH.","Dr. Syeda Sharmin Ara
Dr. Sabina Karim
Dr. Eshita Reza Khan"
7,,"Diagnostic Value of Immunohistochemistry in Pediatric
Solid Tumor – Experiences from NICRH","Dr. KhandokarSamsujjaman
Dr.Ferdousi Begum
Dr. Arafatara Khatun"
8,,"Association of EBV infection in Pediatric Nasopharyngeal
Carcinoma-prospective observational study for 1 year.","Dr. Ferdousi Begum
Dr. Dr. KhandokarSamsujjaman"
9,,"Effect of Nutrition on Clinical Outcome in Children with
Cancer","Dr. Marufa Akter Panna
Dr. Ashis Kumar Ghosh"
10,,"Nutritional Status at diagnosis in under-five children with
Cancer- 1 Year experiences from NICEH","Dr. Ismot Ara Zannat,
Dr. Farida Yasmin"
