file,category,rows,cols
extracted_tables/042_Health_Bulletin_2008/table_023.csv,health_stat,44,23
extracted_tables/042_Health_Bulletin_2008/table_104.csv,other,9,6
extracted_tables/042_Health_Bulletin_2008/table_058.csv,health_stat,16,9
extracted_tables/042_Health_Bulletin_2008/table_015.csv,health_stat,20,13
extracted_tables/042_Health_Bulletin_2008/table_033.csv,other,5,56
extracted_tables/042_Health_Bulletin_2008/table_065.csv,population,15,9
extracted_tables/042_Health_Bulletin_2008/table_097.csv,other,12,3
extracted_tables/042_Health_Bulletin_2008/table_105.csv,health_stat,10,6
extracted_tables/042_Health_Bulletin_2008/table_021.csv,health_stat,19,20
extracted_tables/042_Health_Bulletin_2008/table_006.csv,population,11,18
extracted_tables/042_Health_Bulletin_2008/table_121.csv,human_resource,22,2
extracted_tables/042_Health_Bulletin_2008/table_099.csv,other,6,6
extracted_tables/042_Health_Bulletin_2008/table_090.csv,human_resource,5,12
extracted_tables/042_Health_Bulletin_2008/table_073.csv,other,8,29
extracted_tables/042_Health_Bulletin_2008/table_095.csv,other,9,7
extracted_tables/042_Health_Bulletin_2008/table_103.csv,health_stat,11,6
extracted_tables/042_Health_Bulletin_2008/table_113.csv,other,6,6
extracted_tables/042_Health_Bulletin_2008/table_076.csv,other,11,9
extracted_tables/042_Health_Bulletin_2008/table_018.csv,health_stat,35,15
extracted_tables/042_Health_Bulletin_2008/table_017.csv,health_stat,9,36
extracted_tables/042_Health_Bulletin_2008/table_109.csv,health_stat,17,6
extracted_tables/042_Health_Bulletin_2008/table_057.csv,population,6,2
extracted_tables/042_Health_Bulletin_2008/table_037.csv,other,14,4
extracted_tables/042_Health_Bulletin_2008/table_098.csv,other,20,6
extracted_tables/042_Health_Bulletin_2008/table_043.csv,other,5,15
extracted_tables/042_Health_Bulletin_2008/table_063.csv,population,17,9
extracted_tables/042_Health_Bulletin_2008/table_062.csv,population,9,9
extracted_tables/042_Health_Bulletin_2008/table_002.csv,population,44,27
extracted_tables/042_Health_Bulletin_2008/table_077.csv,other,11,17
extracted_tables/042_Health_Bulletin_2008/table_059.csv,population,11,9
extracted_tables/042_Health_Bulletin_2008/table_044.csv,surgery,10,8
extracted_tables/042_Health_Bulletin_2008/table_049.csv,cancer,20,9
