0,1,2,3,4,5,6,7
,,,,,,,
,"National HIV policie
Indicator:
Indicator",s,and plans (2022),,,"KPILIGH
T
",
,,,"Policy value:
Value",,,"KPILIGH
T
",
,,,,,,,
,,,,,,,
,Implementation of national policy on HIV self-testing (HIVST),,HIVST policy and implementation,,⬤,,
,,,,,,,
,,,Treat all regardless of CD4 count,,⬤,,
,Treatment initiation threshold among adults and adolescents,,,,,,
,,,,,,,
,,,Implemented countrywide (>95% of treatment sites),,⬤,,
,Implementation of treat all policy among adults and adolescents,,,,,,
,,,,,,,
,,,Implemented,,⬤,,
,Implementation of lifelong ART for pregnant & breastfeeding women,,,,,,
,,,,,,,
,,,"Treat all, regardless of age",,⬤,,
,Treatment initiation threshold among children,,,,,,
,,,,,,,
,,,Rapid initiation within 7 days of HIV diagnosis,,⬤,,
,Adoption of WHO 2017 recommendation on rapid initiation of ART,,,,,,
,,,,,,,
,,,Other,,⬤,,
,National policy supporting community delivery of ART,,,,,,
,,,,,,,
,,,Not adopted,,⬤,,
,"Adoption of WHO recommendation to offer package of interventions for
patients with advanced HIV disease",,,,,,
,,,,,,,
,,,Every 3 months for adults who are doing well on ART,,⬤,,
,"Policy on the frequency of clinic visits for adults who are doing well on
antiretroviral therapy",,,,,,
,,,,,,,
,,,Every 3 months for adults who are doing well on ART,,⬤,,
,"Policy on how frequently adults who are doing well on antiretroviral therapy
should pick-up antiretroviral medicine (MMD)",,,,,,
,,,,,,,
,,,DTG introduced in national guidelines and procurement initiated,,⬤,,
,Dolutegravir (DTG) as part of 1st line ARVs for adults and adolescents,,,,,,
,,,,,,,
,,,Implemented in a few (<50%) treatment sites,,⬤,,
,Implementation of national policy on viral load monitoring,,,,,,
,,,,,,,
,,,Point-of-care viral load testing available in any health facility,,⬤,,
,Availability of point-of-care viral load testing,,,,,,
,,,,,,,
,,,Stand-alone HIV monitoring and evaluation strategy or plan,,⬤,,
,National M&E plan or strategy for HIV,,,,,,
,,,,,,,
