0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Leve
l",Activity,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,
,,,Planned,,,,,,Funded,,,,,,Planned,,,,,,Funded,,,,,,Planned,,,,,,Funded,,,,
,,,RR,,,OR,,,RR,,,OR,,,RR,,,OR,,,RR,,,OR,,,RR,,,OR,,,RR,,,OR,
"1.2.0
1","Strengthen delivery of
maternal nutrition
interventions",-,,,"63,216",,,-,,,-,,,-,,,"337,000",,,-,,,"337,000",,,-,,,"299,500",,,,,,,,
"1.2.0
2","Promote, product &
support breastfeeding and
complimentary feeding
practices","10,000",,,"483,39
7",,,"10,000",,,"394,445",,,"465,000",,,"820,000",,,"465,000",,,"160,000",,,"530,00
0",,,"1,270,0
00",,,,,,,,
"1.2.0
3","Improve effectiveness of
management of Severe
Acute Malnutrition",-,,,"167,81
6",,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,
"1.2.0
4","Strengthen service
delivery for prevention of
micronutrient deficiencies
through supplementation
and effective fortification
interventions","90,000",,,"357,90
7",,,"90,000",,,"166,193",,,"20,000",,,"170,000",,,"20,000",,,"110,000",,,-,,,"170,000",,,,,,,,
"1.2.0
5","Pilot innovative
approaches, generate
evidence and apply it for
improving
coverage/quality/efficiency
of service delivery","220,00
0",,,"310,00
0",,,"220,00
0",,,"160,000",,,"200,000",,,"2,890,00
0",,,"200,000",,,"1,170,0
00",,,-,,,"200,000",,,,,,,,
"1.2.0
6","Improve availability of
essential nutrition
supplies, equipment, job
aids, IEC material","41,144",,,"28,500",,,"41,144",,,-,,,"10,000",,,-,,,"10,000",,,-,,,-,,,-,,,,,,,,
"1.2.0
7","Enhance institutional
framework and capacity to
plan, coordinate,
implement, monitor and
report delivery of nutrition
services","180,00
0",,,"2,875,
649",,,"180,00
0",,,"2,875,64
9",,,"100,000",,,"1,959,27
7",,,"100,000",,,"580,000",,,-,,,"905,000",,,,,,,,
