0,1,2,3,4,5,6,7
"12 months, by age and place of
occurrence.
Baseline: 54.7 (2015);
Target: 20 (2026)","12 months, by age and place of","Output 2. An enabling legal and
policy environment and
strengthened national and
subnational capacities,
coordination and survivor-centred
service provision to address
gender-based violence, in
particular among vulnerable
groups, in development and
humanitarian settings","• Number of laws, policies and regulations on gender
equality, gender-based violence and harmful practices
and women’s [reproductive] rights developed or
revised with amendments or repeal of discriminatory
provisions, in line with the global evidence base and
international standards
Baseline: 0 (2020); Target: 3 (2026)
• Existence of a national mechanism to coordinate
multiple stakeholders, including civil society, and
organizations working with vulnerable groups and men
and boys, to strengthen multisectoral initiatives for
prevention and response to gender-based violence
across the development and humanitarian continuum
Baseline: No (2020); Target: Yes (2026)
• Number of facilities in UNFPA supported districts
providing survivor-centred gender-based violence
response services, in line with international standards
Baseline: 130 (2020); Target: 150 (2026)",,"$7.4 million
($5.6 million
from regular
resources and
$ 1.8 million
from other
resources)",,
,occurrence.,,,,,,
,Baseline: 54.7 (2015);,,,,,,
,Target: 20 (2026),,,,,,
,"NATIONAL PRIORITY: Health, population and nutrition",,,,,,
,"UNSDCF OUTCOME INVOLVING UNFPA: By 2026, more people in Bangladesh, particularly the vulnerable and marginalized from all gender and social groups and those",,,,,,
,"from lagging districts benefit from sustainable livelihood and decent work opportunities resulting from responsible, inclusive, sustainable, green and equitable economic",,,,,,
,development,,,,,,
,"RELATED UNFPA STRATEGIC PLAN OUTCOME: Everyone, everywhere, is counted, and accounted for, in the pursuit of sustainable development.",,,,,,
,"UNSDCF outcome indicators,
baselines, targets",Country programme outputs,"Output indicators, baselines and targets",Partner contributions,,Indicative,
,,,,,,resources,
"UNFPA strategic plan outcome
indicator(s):
• Proportion of 16 SDG
indicators prioritized by
UNFPA produced at the
national level, with full
disaggregation, when relevant
to the target, following the
fundamental principles of
official statistics
Baseline: 62% (2020);
Target: 75% (2026)",,"Output 1. Use of demographic
intelligence and disaggregated
population data for national
policies, plans and programmes is
increased to enable Bangladesh to
harness the demographic dividend,
advance the ICPD Programme of
Action and achieve the 2030
Agenda","• Number of analytical reports, monographs, policy
briefs and communication materials developed, based
on 2021 Population and Housing Census data and other
new population-based survey data (e.g. DHS, MICS,
violence against women survey)
Baseline: 0 (2021); Target: 10 (2026)
• Number of development plans developed and approved
to harness the demographic dividend
Baseline: 0 (2021); Target: 2 (2026)
• Number of national and sector-level plan
recommendations, including policy advice on
population and development issues given to relevant
ministries by the parliamentary committees and
population expert committees to address inequalities
and advance the ICPD Programme of Action for
inclusive sustainable development
Baseline: 2 (2021); Target: 8 (2026)","Bangladesh Bureau of
Statistics; General
Economics Division;
Ministry of Planning;
Parliament Secretariat;
Prime Minister’s Office;
Ministry of Health and
Family Welfare; Ministry
of Women and Children
Affairs; civil society
organizations, non-
governmental
organizations, academic
and research institutes,
mass media; private sector,
United Nations
organizations","$5.5 million
($3.5 million
from regular
resources and
$2 million
from other
resources)",,
