0,1,2,3,4,5,6,7,8,9
,"National priority: Seventh Five-Year Plan: human resource development (education, health and population)",,,,,,,,
,"UNDAF outcome: All people have equal rights, access and opportunities",,,,,,,,
UNFPA strategic plan outcome,,,Country programme,,"Output indicators, baselines and targets",Partners,,Indicative,
,,,outputs,,,,,resources,
"Outcome 1: Sexual and
reproductive health and rights
Increased availability and use of
integrated sexual and reproductive
health services, including family
planning, maternal health and HIV,
that are gender-responsive and meet
human rights standards for quality of
care and equity in access
Outcome indicator(s):
● Percentage of live births attended
by skilled birth personnel
Baseline: 42%; Target: 65%
● Percentage of demand for
contraception satisfied
Baseline: 83.9%; Target: 87.3%",,"Output 1: Strengthened
national policy and health
sector capacity to deliver a
midwife-led continuum of
care and emergency
obstetric and newborn
care",,,"● National midwifery policy developed and endorsed by the
Government
Baseline: No; Target: Yes
● Number of Upazila health complexes providing midwife-led
continuum of care
Baseline: 0; Target: 50
● Number of union health facilities in targeted districts providing 24/7
basic emergency obstetric newborn care services.
Baseline: 0; Target: 180","Directorate of Nursing
Services; Bangladesh
Midwifery Society;
Bangladesh Nursing and
Midwifery Council;
Directorate General of
Health Services;
Directorate General of
Family Planning; civil
society organizations","$18.0 million
($4.2 million
from regular
resources and
$13.8 million
from other
resources)",,
,,"Output 2: Enhanced
national capacity to
increase demand for, and
supply of, family planning
information and services",,,"● National policy on family planning with emphasis on quality
developed and endorsed
Baseline: No; Target: Yes
● Percentage of union health and family welfare centres providing at
least four contraceptive methods
Baseline: 82.3%; Target: 90%
● Discontinuation rate for contraceptives among women aged 15-49 years
Baseline: 30%; Target: 20%",,"$6.2 million
($3.2 million
from regular
resources and
$3.0 million
from other
resources)",,
,,"Output 3: Increased
institutional capacity to
deliver integrated and
equitable sexual and
reproductive health
services, including
addressing sexually
transmitted infections and
HIV, in development and
humanitarian contexts",,,"● Percentage of facility-based deliveries among people in urban slums
Baseline: 37%; Target: 55%
● Number of new fistula cases operated annually
Baseline: 320; Target: 800
● Number of disaster-prone districts with MISP implementation capacity
Baseline: 0; Target: 22
● Number of targeted district health facilities providing integrated
sexual and reproductive health and gender-based violence
services
Baseline: 0; Target: 12","Ministries of: Health
and Family Welfare;
Home Affairs; Women
and Children Affairs;
Disaster Management
and Relief; local
government; non-
governmental
organizations; United
Nations organizations","$4.0 million
($2.0 million
from regular
resources and
$2.0 million
from other
resources)",,
,"National priority: Seventh Five-Year Plan: human resource development (education, health and population).",,,,,,,,
,"UNDAF outcome: All people have equal rights, access and opportunities.",,,,,,,,
"Outcome 2: Adolescents and youth
Increased priority on adolescents,
especially on very young adolescent
girls, in national development
policies and programmes, particularly
increased availability of
comprehensive sexuality education
and sexual and reproductive health
Outcome indicator(s):
 Percentage of women aged 20-24
years married before age 18
Baseline: 59%; Target: 30%
 Number of laws, policies and
strategies that allow all adolescents",,"Output 1: Increased
capacity to implement
evidence-based policies,
strategies and services for
adolescents and youth
including sexual and
reproductive health and
rights, gender-responsive
life skills education, and
prevention of child
marriage",,,"● A national curriculum on gender-responsive life skills education
developed and endorsed by the Government
Baseline: No; Target: Yes
● Number of service delivery points with at least one trained service
provider who can provide adolescent-friendly sexual and reproductive
health information and services in selected districts
Baseline: 10; Target: 600
● A costed national plan of action to eliminate child marriage
developed and budget allocated
Baseline: No; Target: Yes","Ministries of: Youth
and Sports; Education;
Health and Family
Welfare; Women and
Children Affairs.
Parliamentarians; civil
society organizations;
non-governmental
organizations;
academia; the media;
United Nations
organizations","$9.8 million
($4.8 million
from regular
resources and
$5.0 million
from other
resources)",,
