0,1
Table continued...,
Sl. no.,Ongoing project
3,"Establishment of Patuakhali Medical College and Hospital, Patuakhali"
4,"Maternal and Child Health and Health System Improvement (Component 2:
Modernization of Diagnostic Imaging System of Eight Divisional Medical College
Hospitals) (First revision)"
5,Expansion of National Institute of Neurosciences and Hospital (2nd revision)
6,"Establishment of 500-bedded Hospital and ancillary buildings in Jashore, Cox`s
Bazar, Pabna; Abdul Malek Ukil Medical College and Jononeta Nurul Haque Modern
Hospital, Noakhali (First revision)"
7,"Bangabandhu Medical College and Hospital, Sunamganj (First revision)"
8,Establishment of 100-bedded Cancer Unit in 8 Divisional Medical College Hospitals
9,"Establishment of 50 Beds in Medical Colleges and 10 Beds in District Sadar Hospitals
for Kidney Dialysis"
10,COVID-19 Emergency Response and Pandemic Preparedness (2nd revision))
11,COVID-19 Emergency Response Assistance (First revision)
12,"Establishment of Burn and Plastic Surgery Unit in 5 Medical College Hospitals (Sylhet,
Barishal, Rangpur, Rajshahi, and Faridpur)"
13,Hospital-based Medical Waste Management in 15 Government Hospitals (First revision)
