0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,No. of participants,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wise,,,,,,MoHFW personnel,,,,,,,,,Non-MoHFW personnel,,,,,,,,,Total no. of participants,,,,,,,
,training,,,Batch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Male,,F,emale,,,Total,,,Male,,,Female,,,Total,,,Male,,,Female,,,Total,
,conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orientation,,,242,,,2981,,,2383,,,5364,,,12074,,,3106,,,15180,,,15055,,,5489,,,20544,,
Workshop,,,62,,,757,,,360,,,1117,,,793,,,310,,,1103,,,1550,,,670,,,2220,,
Seminar,,,120,,,988,,,461,,,1449,,,2414,,,1099,,,3513,,,3402,,,1560,,,4962,,
Awareness,,,321,,,3577,,,1579,,,5156,,,5069,,,2145,,,7214,,,8646,,,3724,,,12370,,
,Total,,,745,,,8303,,,4783,,,13086,,,20350,,,6660,,,27010,,,28653,,,11443,,,40096,
