0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Month,,,Dhaka,,,Mymensingh,,,Chattagram,,,Rajshahi,,,Rangpur,,,Khulna,,,Barishal,,,Sylhet,
January,,,9432885,,,2519338,,,6927015,,,4936094,,,3908484,,,3965127,,,2013719,,,2124319,,
February,,,13464535,,,3864435,,,11153882,,,6532193,,,4535571,,,4881300,,,2392264,,,3787206,,
March,,,12606700,,,2554153,,,6827700,,,3197648,,,4873659,,,2968923,,,1598831,,,2687865,,
April,,,2926852,,,687614,,,1378718,,,638564,,,749758,,,819092,,,330848,,,750006,,
May,,,1669076,,,134685,,,735927,,,266002,,,429021,,,403925,,,111656,,,221839,,
June,,,4533565,,,888559,,,3253589,,,2182510,,,1801812,,,1996384,,,802447,,,941642,,
July,,,2773138,,,1092965,,,2149082,,,1835331,,,935934,,,1543171,,,683438,,,790201,,
August,,,1941338,,,270757,,,719093,,,997187,,,301254,,,506914,,,137176,,,275053,,
September,,,1927426,,,491204,,,1775091,,,1240331,,,872557,,,951392,,,405930,,,752926,,
October,,,3840364,,,1181154,,,3186749,,,3126127,,,1697162,,,1742118,,,1108946,,,1094195,,
November,,,2491747,,,1143856,,,2808789,,,1458135,,,1305033,,,1345010,,,578291,,,1120404,,
December,,,1604961,,,692045,,,1906016,,,1293225,,,947777,,,927778,,,517430,,,688256,,
,Total,,,59212587,,,15520765,,,42821651,,,27703347,,,22358022,,,22051134,,,10680976,,,15233912,
