0,1,2,3,4,5,6,7
,Facility,,,Major,,"Minor
Surgery",
,,,,Surgery,,,
Kurmitola 500 Bed General Hospital,,,2072,,,11217,
"National Institute Of Cancer Research And Hospital
(NICR&H)",,,2359,,,449,
National Institute Of Cardiovascular Disease (NICVD),,,2687,,,15171,
"National Institute of Diseases of the Chest & Hospital
(NIDCH)",,,1603,,,3539,
National Institute of ENT,,,1798,,,444,
National Institute of Kidney Disease and Urology (NIKDU),,,2214,,,3530,
National Institute of Neuro Sciences & Hospital (NINS & H),,,2690,,,234,
National Institute Of Ophthalmology (NIO),,,17930,,,1111,
"National Institute of Traumatology and Orthopaedic
Rehabilitation (NITOR)",,,23790,,,19515,
Shaheed Sheikh Abu Naser Specialized Hospital,,,609,,,108,
"Sheikh Fazilatunnessa Mujib Eye Hospital And Training
Institute",,,6622,,,15669,
"Sheikh Hasina National Institute of Burn and Plastic
Surgery",,,5513,,,5077,
Sheikh Russel Gastroliver Institute & Hospital,,,852,,,80,
,Total,,,70739,,76144,
