0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.45,1.46,1.54,1.58,1.67,1.77,1.79,1.83,1.98,2.02,2.09,2.16,2.21,2.3,2.44,2.39,2.26,2.25,2.28,2.33,2.23,2.18,2.14,2.18
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0.82,0.79,0.76,0.77,0.81,0.82,0.74,0.79,0.72,0.82,0.77,0.73,0.73,0.79,0.78,0.71,0.7,0.7,0.68,0.73,0.78,0.84,0.75,0.66
