0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,Sl.,,,Camp,,,UID,,,Name,,,Area,,,Organization,
PHC,,,,,,,,,,,,,,,,,
1,,,Camp-2W,,,HF_023,,,Kutupalong,,,UKH,,,IOM+UNFPA,,
2,,,Camp-3,,,HF_034,,,Modhurchora,,,UKH,,,IOM+UNFPA,,
3,,,Camp-5,,,HF_046,,,RTMI-PHC Near CiC,,,UKH,,,UNICEF,,
4,,,Camp-9,,,HF_093,,,Balukhali,,,UKH,,,IOM+UNFPA,,
5,,,Camp-10,,,HF_096,,,PHD Balukhali,,,UKH,,,UNICEF,,
6,,,Camp-11,,,HF_143,,,Moynarghona,,,UKH,,,IOM+UNFPA,,
7,,,Camp-15,,,HF_146,,,Jamtoli,,,UKH,,,IOM+UNFPA,,
8,,,Camp-18,,,HF_179,,,"RTMI-PHC,
Plongkhali",,,UKH,,,UNICEF,,
9,,,Camp-13,,,HF_186,,,BDRCS Plongkhali,,,UKH,,,IOM+UNFPA,,
10,,,Camp-19,,,HF_187,,,"RTMI-PHC, Near CiC",,,UKH,,,IOM+UNFPA,,
11,,,Camp-24,,,HF_200,,,Leda PHC,,,TEK,,,IOM+UNFPA,,
