0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Reported
cases in
EWARS
(actual)",12-naJ,12-beF,12-raM,12-rpA,12-yaM,12-nuJ,12-luJ,12-guA,12-peS,12-tcO,12-voN,12-ceD,,latoT,
Abscess,"192
3","179
6","199
9","240
1","260
7","323
1","272
4","325
3","318
2","285
4","214
9","209
3",,3021,
,,,,,,,,,,,,,,2,
"Dengue-
confirmed",43,4,15,59,12,22,26,26,69,310,442,982,2010,2010,
"Acute
Watery
Diarrhoea","605
1","603
7","651
4","587
5","613
0","565
1","487
1","657
9","548
7","642
0","516
9","481
2","1460
92",,
"Eye
problem-
Acute Eye
Injury",196,240,247,243,197,195,207,292,313,209,200,134,2673,,
"Fever
Unexplaine
d >
101°F/38.5
°C","605
1","603
7","651
4","587
5","613
0","565
1","487
1","657
9","548
7","642
0","516
9","481
2","6959
6",,
"Gastroenter
ic
problems/P
UD","470
55","464
04","464
25","439
77","369
21","435
13","397
24","459
19","442
65","369
21","390
25","376
48","5077
97",,
"Malaria
Confirmed",5,11,19,26,3,14,4,14,16,0,6,2,120,,
"Measles/Ru
bella-
Suspected",61,73,84,44,34,32,25,36,28,55,58,121,651,,
"Meningitis-
Suspected",0,2,5,2,2,7,5,5,4,7,2,11,52,,
"Sexually
Transmitte
d
Disease/ST
I","145
2","176
8","136
4","108
5",820,"101
4","101
1","144
3","151
5","118
5","134
4","106
7","1506
8",,
"Skin
Diseases","508
31","455
32","462
50","468
61","424
86","525
33","535
63","717
38","763
62","713
33","787
18","720
37",,7082,
,,,,,,,,,,,,,,44,
