0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
noisiviD,"htiw
etutitsni
noitacol
fo
emaN",,,"raey
.dtsE",Discipline,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BAL,,,/GMI&LDR,yhpargoidaR,,YTP,,TNED,,ycamrahP,,yparehtoidaR,,ATO,,ACI,,"modeerf
rof
atouQ","sebirt
dna
srethgif",TIS,,,latoT,
akahD,"IHT, Dhaka.",,,1962,50,,,50,,,,50,50,,,50,,20,,25,,25,,7,,50,,377,,
,,"IHT,",,2019,50,,,0,,,,0,0,,,50,,0,,0,,0,,3,,0,,103,,
,,Tungipara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IHT, Gazipur",,,2019,50,,,0,,,,0,0,,,50,,0,,0,,0,,3,,0,,103,,
,,"IHT, Kashiani,",,2022,50,,,0,,,,0,0,,,50,,0,,0,,0,,0,,3,,103,,
,,Gopalganj,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IHT,
Madaripur",,,2022,50,,,50,,,,0,0,,,50,,0,,0,,0,,0,,5,,155,,
,,"IHT,",,2022,25,,,25,,,,0,0,,,0,,0,,0,,0,,0,,2,,52,,
,,Manikganj,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IHT,
Munshiganj",,,2022,25,,,25,,,,0,0,,,0,,0,,0,,0,,0,,2,,52,,
,,"IHT, Shibchor,",,2022,25,,,25,,,,0,0,,,0,,0,,0,,0,,0,,2,,52,,
,,Madaripur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihahsjaR,"IHT, Rajshahi",,,1962,50,,,50,,,,50,50,,,50,,20,,0,,0,,7,,50,,327,,
,"IHT, Bogura",,,2007,65,,,55,,,,50,55,,,55,,20,,0,,0,,7,,0,,307,,
,"IHT,
Sirajganj",,,2017,50,,,0,,,,0,0,,,50,,0,,0,,0,,3,,0,,103,,
