0,1,2,3,4,5,6,7,8,9,10
"Sl.
no.","Location of
the program
conducted","Number
of
batches",List of participants,,,,,,,
,,,MOHFW personnel,,,,"Non-MOHFW
personnel (Field)",,"Total
participants",
,,,Central level,,Field level,,,,,
,,,Male,Female,Male,Female,Male,Female,Male,Female
1.,Barishal division,7,22,13,130,45,0,0,152,58
2.,"Chattogram
division",21,68,37,393,132,0,0,461,169
3.,Dhaka division,25,27,16,524,245,0,0,551,261
4.,Khulna division,17,34,16,350,118,0,0,384,134
5.,"Mymensingh
division",12,43,17,238,62,0,0,281,79
6.,Rajshahi division,16,64,12,324,80,0,0,388,92
7.,Rangpur division,5,18,7,92,33,0,0,110,40
8.,Sylhet division,12,47,13,222,78,0,0,269,91
Grand Total,,115,323,131,2273,793,0,0,2596,924
