0,1
Name of district-level hospital,Average length of stay
"Chapainowabganj District Hospital, Chapainowabganj",23.3
Narayanganj 300-bed Hospital,10.7
"Shahid Shamsuddin District Hospital, Sylhet",8.6
"Khulna District Hospital, Khulna",6.4
"Bandarban District Hospital, Bandarban",6.3
"Shaheed Ahsan Ullah Master General Hospital, Tongi, Gazipur",5.6
"Mohammad Ali District Hospital , Bogura",5.1
"Barishal District Hospital, Barishal",4.9
"Dinajpur District Hospital, Dinajpur",4
"Narsingdi (100-bed) Zila Hospital, Narshingdi",4
"Brahmanbaria District Hospital, Brahmanbaria",3.7
"Patuakhali District Hospital, Patuakhali",3.7
"Narsingdi District Hospital, Narsingdi",3.5
"Bagerhat District Hospital, Bagerhat",3.3
"Gopalganj District Hospital, Gopalganj",3.1
"Lalmonirhat District Hospital, Lalmonirhat",3.1
"Noakhali District Hospital, Noakhali",3.1
"Joypurhat District Hospital, Joypurhat",3
"Kushtia District Hospital, Kushtia",3
"Pirojpur District Hospital, Pirojpur",3
"Barguna District Hospital, Barguna",2.9
"Cox’s Bazar District Hospital, Cox’s Bazar",2.9
"Sherpur District Hospital, Sherpur",2.9
"Khagrachhari District Hospital, Khagrachhari",2.8
"Satkhira District Hospital, Satkhira",2.8
"Sunamganj District Hospital, Sunamganj",2.8
"Lakshmipur District Hospital, Lakshmipur",2.7
