0,1,2,3,4,5,6,7,8,9
Table continued...,,,,,,,,,
Year,"Total health
expenditure",,GDP,,Per capita,,,,
,"Amount
(Taka in
million)","Nominal
Growth
rate (%)","Amount
(Taka in
million)","Nomi-
nal
Growth
rate (%)",GDP,THE,,,"Ratio
of THE
to GDP
(%)"
,,,,,Taka,,US $,PPP $,
2013,"353,960",9,"11,989,232",14,"78,515","2,318",$29,$89,3.0
2014,"398,420",13,"13,436,744",12,"86,857","2,575",$33,$96,3.0
2015,"451,889",13,"15,158,022",13,"96,671","2,882",$37,$102,3.0
Average annual growth rate,,,,,,,,,
1998-2002,,12,,9,,,,,2.4
2003-2007,,14,,12,,,,,2.7
2008-2012,,16,,14,,,,,3.0
2012-2015,,12,,13,,,,,3.0
1998-2015,,13,,12,,,,,2.8
"The Purchasing Power Parity (PPP) adjusted per-capita expenditure on health in nominal terms was Taka 7,936
($102) in 2015; in real terms it was Taka 2,647 ($37) for that year
Source: Summary Bangladesh National Health Accounts 1997-2015, BHNA Cell, Health Economics Unit, MOHFW",,,,,,,,,
