0,1,2,3,4
"SI.
no.",Division,Name of institution,"Year of
establishment","No. of
seats"
1,Chittagong,"Comilla Medical Assistant Training School, Ramalla
Road, Thakurpara, Comilla",2008,75
2,,"Chittagong Medical Assistant Training School,
Halishohor, Chittagong",2011,100
3,,"Noakhali Paramedical Centre (NPCMATS),
Maijdibazar, Noakhali, Chittagong",2011,90
4,,"Moynamoti Medical Assistant Training School,
Comilla",2011,50
5,,"Maizdi Medical Assistant Training School, House
Teest, Maizdi Court, Noakhali",2013,50
6,,"Impulse Medical Assistant Training School (MATS),
Jahan Plaza, Maizdi Court, Sadar, Noakhali",2015,50
7,,"Cox’s Bazar Institute of Medical Technology and
MATS, Fuwad Al Khatib Hospital Bhoban, Central
Jame Masjid Road, Cox’s Bazar",2015,50
8,,"Institute of Health Technology MATS, Chittagong
City Corporation,180 Kabi Nazrul Islam Road,
Firingi Bazar, Chittagong",2015,50
9,,"Life Care Medical Institute, Feni Road,
Choumohoni, Begumganj, Noakhali",2013,50
10,,"Compact Medical Institute, Hazari Road, Feni",2013,50
11,,"PBM Medical Asistant Training Institute,
Khagrachhari Sadar, Khagrachhari",2013,50
12,,"Brahmanbaria Medical Assistant Training School,
Shimrailkandi Power House, Brahmanbaria",2011,60
13,,"Chandpur Medical Assistant Training School,
Chandpur",2010,50
