0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Disease,,Unit,Barisal,Chittagong,,Dhaka,,Khulna,,Rajshahi,,,Rangpur,Sylhet,,,Total,,
,,No.,"1,596",286,,992,,22,,,954,,"2,923",,"1,520",,,"8,293",
Me,asles,%,19.2%,3.4%,,12.0%,,0.3%,,,11.5%,,35.2%,,18.3%,,,100.0%,
,,,,,,,,,,,,,,,,,,,
,,No.,"4,615","8,998",,"21,163",,"1,681",,,"13,993",,"8,927",,"16,18",9,,"75,566",
Ear P,roblem,%,6.1%,11.9%,,28.0%,,2.2%,,,18.5%,,11.8%,,21.4%,,,100.0%,
,,,,,,,,,,,,,,,,,,,
,,No.,"10,416","8,676",,"28,179",,"2,528",,,"22,522",,"17,241",,"17,36",8,,"106,930",
Maln,utrition,%,9.7%,8.1%,,26.4%,,2.4%,,,21.1%,,16.1%,,16.2%,,,100.0%,
,,,,,,,,,,,,,,,,,,,
,,No.,"30,796","58,782",,"107,658",,"16,694",,,"68,412",,"46,337",,"102,63",2,,"431,311",
O,thers,%,7.1%,13.6%,,25.0%,,3.9%,,,15.9%,,10.7%,,23.8%,,,100.0%,
,,,,,,,,,,,,,,,,,,,
Total,,No.,"131,138","275,640",,"581,733",,"71,335",,,"353,713",,"236,860",,"303,97",5,,"1,954,394",
,,,,,,,,,,,,,,,,,,,
,,%,6.7%,14.1%,,29.8%,,3.6%,,,18.1%,,12.1%,,15.6%,,,100.0%,
,,,,,,,,,,,,,,,,,,,
