0,1,2,3,4,5,6,7,8,9,10,11,12,13
Fiscal year,Public sector,,Household,,Private,,Insurance,,NGO,,"Development
partners",,Total THE
,"Million
taka","% of
THE","Million
taka","% of
THE","Million
taka","% of
THE","Million
taka","% of
THE","Million
taka","% of
THE","Million
taka","% of
THE","Million
taka"
1996-1997,"17,682",36%,"27,573",57%,562,1%,35,0%,548,1%,"2,300",5%,"48,699"
1997-1998,"18,341",34%,"31,055",58%,605,1%,41,0%,685,1%,"2,875",5%,"53,602"
1998-1999,"19,292",32%,"35,071",59%,487,1%,47,0%,849,1%,"3,688",6%,"59,433"
1999-2000,"20,217",31%,"38,719",59%,910,1%,54,0%,"1,019",2%,"4,578",7%,"65,497"
2000-2001,"23,128",31%,"43,456",59%,594,1%,97,0%,"1,260",2%,"5,659",8%,"74,193"
2001-2002,"25,223",30%,"48,944",59%,657,1%,117,0%,"1,265",2%,"6,772",8%,"82,978"
2002-2003,"24,810",28%,"54,461",61%,871,1%,142,0%,"1,422",2%,"8,004",9%,"89,709"
2003-2004,"29,316",29%,"61,078",60%,854,1%,167,0%,"1,579",2%,"9,235",9%,"102,229"
2004-2005,"29,918",26%,"74,506",64%,937,1%,224,0%,"1,765",2%,"9,734",8%,"117,085"
2005-2006,"38,696",28%,"86,419",62%,"1,100",1%,256,0%,"1,954",1%,"10,530",8%,"138,955"
2006-2007,"41,318",26%,"103,459",64%,"1,325",1%,314,0%,"2,092",1%,"12,391",8%,"160,899"
