0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50y+,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Rectal prolapse,0,0,0,0,11,11,14,7,6,2,16,16,22,22,69,58
Refractive error,0,0,0,0,0,0,0,0,4,3,3,11,5,2,12,16
Renal failure,0,0,1,2,1,2,2,0,53,91,424,357,739,397,1220,849
Renal stone,0,0,0,0,5,4,7,3,32,33,130,122,132,48,306,210
Retinal problem,0,0,0,0,0,0,0,3,6,8,52,31,89,56,147,98
Rheumatic fever,0,0,0,0,24,22,34,28,60,86,121,102,77,66,316,304
Rhinitis,0,0,2,2,0,2,33,42,122,52,91,72,49,26,297,196
Rickets,0,0,1,1,21,19,0,0,6,4,8,9,4,4,40,37
Road-traffic accident,0,1,31,31,144,169,649,465,1270,725,5865,1666,2854,868,10813,3925
Rupture uterus,0,0,1,4,5,5,4,2,0,95,0,90,0,4,10,200
Scabies,69,52,254,317,184,166,541,536,761,634,1326,1249,939,1350,4074,4304
Schizophrenia,90,70,12,10,1,1,0,1,10,10,115,94,76,83,304,269
Septicemia,255,183,183,53,16,12,10,4,33,36,330,280,158,140,985,708
Spinal cord injury,0,0,0,0,2,2,65,20,78,54,118,71,81,68,344,215
Suppurative otitis media,0,0,0,1,1,149,149,811,887,1029,1998,478,510,77,3545,2545
Syphilis,0,0,0,0,1,0,6,2,35,19,57,22,1,2,100,45
Tetanus,7,4,2,1,3,5,13,10,36,11,12,19,27,5,100,55
Thalassemia,0,0,12,9,69,45,133,241,72,90,116,174,127,170,529,729
Tonsillitis,0,0,0,34,33,63,57,572,717,632,798,191,119,56,1724,1548
"Tuberculosis (Extra-
Pulmonary)",0,0,1,2,22,9,49,98,212,180,388,256,272,243,944,788
"Tuberculosis
(Pulmonary)",0,0,6,1,11,8,20,8,73,72,263,169,223,141,596,399
Urethritis,0,0,0,0,0,0,0,1,6,16,61,40,34,37,101,94
Urinary stone disease,0,0,0,0,7,4,10,15,25,31,138,74,80,18,260,142
Urinary tract infection,0,0,0,1,12,30,64,71,194,214,374,517,344,335,988,1168
Valvular heart disease,0,0,6,3,15,11,9,10,117,116,386,288,385,335,918,763
Viral fever,0,0,12,16,60,44,107,56,195,126,270,203,204,30,848,475
Whooping cough,0,0,25,38,43,46,2,93,95,172,84,121,77,74,326,544
"Worm infestation
(Intestinal)",0,0,2,3,315,164,282,144,188,139,140,245,97,173,1024,868
Others,3323,2543,1106,1240,2123,2910,2651,3932,7888,6719,9344,7957,8472,4431,34907,29732
