0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Item,,,Y2001,,Y2002,,,,Y2003,,Y2004,,,Y2005,,Y2006,,,,Y2007,,Y2008,,
,Benedict’s Solution,,420,,,600,,,555,,470,,,460,,,294,,,480,,,560,
ESR Fluid,,,60,,160,,,,160,,150,,,160,,110,,,,237,,380,,
,20% Sulphuric Acid Solution,,40,,,40,,,95,,95,,,30,,,-,,,20,,,40,
N/10 Hydrochloric Acid Solution,,,70,,60,,,,90,,10,,,60,,70,,,,80,,190,,
,Acetone-alcohol,,Nil,,,Nil,,,55,,20,,,10,,,-,,,10,,,-,
5% Acetic Acid Solution,,,60,,60,,,,80,,100,,,60,,20,,,,70,,170,,
,WBC Fluid,,60,,,50,,,80,,40,,,60,,,20,,,40,,,100,
RBC Fluid,,,20,,50,,,,80,,70,,,30,,-,,,,20,,80,,
,30% Suplhosalicylic Acid,,10,,,Nil,,,Nil,,10,,,11.6,,,-,,,10,,,07,
20% Sodium Hydroxide Solution,,,Nil,,Nil,,,,Nil,,20,,,Nil,,-,,,,-,,-,,
,20% Potassium Hydroxide Solution,,Nil,,,02,,,11.5,,Nil,,,Nil,,,-,,,-,,,-,
Semen Analysis Fluid,,,20,,Nil,,,,36.5,,20,,,10,,-,,,,05,,-,,
,Normal Saline,,60,,,100,,,90,,70,,,40,,,30,,,80,,,60,
Methylene Blue,,,20,,35,,,,57,,30,,,10,,10,,,,05,,25,,
,Crystal Violet,,15,,,15,,,30,,10,,,10,,,-,,,-,,,05,
Basic Fuchsin,,,05,,10,,,,33,,10,,,05,,32,,,,-,,22,,
,Carbol Fuchsin,,22,,,22,,,66,,44,,,11,,,10,,,-,,,-,
Gram Iodine,,,10.5,,05,,,,35,,10,,,05,,05,,,,10,,-,,
,Lugol’s Iodine,,15.5,,,20,,,40,,15,,,15,,,15,,,16,,,40,
Leishman Stain,,,44,,96,,,,69,,47,,,62,,29,,,,65.1,,104,,
,Giemsa Stain,,29,,,48,,,39.5,,Nil,,,36 l,,,16,,,51.8,,,60,
Glucose Kits,,,"100
kits",,47 kits,,,78 kits,78 kits,,100 kits,,48 kits,48 kits,,98,,,-,-,,100,,
