0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,,,,,,D,evelopment,,,Proposed,,,Bed will,
,Division,,,Hospital,,,,Bed,,,Revenue,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bed,,,increase,
,,,,,,,,,,,,,,,,,,,,,
Rajshahi,,,Rangpur Medical College Hospital,,,,600,,,600,,,-,,,1000,,,400,,
Sylhet,,,"Sylhet MAG Osmani Medical College
Hospital",,,,900,,,900,,,-,,,1000,,,100,,
Total: 14 Nos.,,,,,,,8685,,,8685,,,-,,,7500,,,2150,,
,Dental College Hospital,,,,,,,,,,,,,,,,,,,,
Dhaka,,,Dhaka Dental College Hospital,,,,20,,,20,,,-,,,200,,,180,,
Total: 1 No.,,,,,,,20,,,20,,,-,,,200,,,180,,
,Hospital for Alternative Medical Care,,,,,,,,,,,,,,,,,,,,
Dhaka,,,Ayurvedic Degree College and Hospital,,,,100,,,100,,,-,,,-,,,-,,
Dhaka,,,Homeopathic College and Hospital,,,,100,,,100,,,-,,,-,,,-,,
Total: 2 Nos.,,,,,,,200,,,200,,,-,,,0,,,-,,
,Specialized Hospital,,,,,,,,,,,,,,,,,,,,
Dhaka,,,"Burn Unit at Dhaka Medical College
Hospital",,,,50,,,-,,,50,,,200,,,150,,
Dhaka,,,"National Asthma Center, Mohakhali",,,,100,,,-,,,100,,,-,,,-,,
Dhaka,,,"National Center for Rheumatic Fever and
Heart Diseases",,,,-,,,-,,,-,,,-,,,-,,
Rajshahi,,,"Mental Hospital, Pabna",,,,500,,,400,,,100,,,-,,,-,,
Total: 3 Nos.,,,,,,,650,,,400,,,250,,,200,,,150,,
,Sarkari Karmochari Hospital,,,,,,,,,,,,,,,,,,,,
Dhaka,,,Sharkari Karmochari Hospital,,,,100,,,100,,,-,,,-,,,-,,
Total: 1 No.,,,,,,,100,,,100,,,-,,,0,,,-,,
,Moitree Hospital,,,,,,,,,,,,,,,,,,,,
Dhaka,,,"Bangladesh Korea Moitree Hospital, Savar",,,,20,,,-,,,20,,,-,,,-,,
Total: 1 No.,,,,,,,20,,,-,,,20,,,-,,,-,,
,Children Hospital,,,,,,,,,,,,,,,,,,,,
Khulna,,,25 Bed Sishu Hospital at Jenaidah,,,,25,,,-,,,25,,,-,,,1,,
Total: 1 No.,,,,,,,25,,,-,,,25,,,0,,,1,,
,Infectious Disease Hospital,,,,,,,,,,,,,,,,,,,,
Chittagong,,,Infectious Diseases Hospital,,,,20,,,20,,,-,,,-,,,-,,
Dhaka,,,Infectious Diseases Hospital,,,,100,,,100,,,-,,,-,,,-,,
Khulna,,,Infectious Diseases Hospital,,,,20,,,20,,,-,,,-,,,-,,
Rajshahi,,,Infectious Diseases Hospital,,,,20,,,20,,,-,,,-,,,-,,
Sylhet,,,Infectious Diseases Hospital,,,,20,,,20,,,-,,,-,,,-,,
Total: 5 Nos.,,,,,,,180,,,180,,,-,,,-,,,-,,
,General Hospital,,,,,,,,,,,,,,,,,,,,
Barisal,,,Barisal General Hospital,,,,100,,,100,,,-,,,-,,,-,,
Chittagong,,,"100 Bed General Hospital at Port area,
Chittagong",,,,-,,,-,,,-,,,100,,,100,,
Chittagong,,,Chittagong General Hospital,,,,150,,,150,,,-,,,-,,,-,,
Chittagong,,,Comilla General Hospital,,,,100,,,100,,,-,,,-,,,-,,
Chittagong,,,Noakhali General Hospital,,,,250,,,150,,,100,,,-,,,-,,
Chittagong,,,Rangamati General Hospital,,,,100,,,100,,,-,,,-,,,-,,
Dhaka,,,"500 Bed General Hospital at Khilgaon,
Dhaka",,,,-,,,-,,,-,,,500,,,500,,
Dhaka,,,"500 Bed General Hospital at
Kurmitolla, Dhaka",,,,-,,,-,,,-,,,500,,,500,,
Dhaka,,,"500 Bed General Hospital at Mirpur,
Dhaka",,,,-,,,-,,,-,,,500,,,500,,
Dhaka,,,Faridpur General Hospital,,,,100,,,100,,,-,,,-,,,-,,
Dhaka,,,Narayanganj General Hospital,,,,200,,,200,,,-,,,250,,,50,,
Khulna,,,Khulna General Hospital,,,,150,,,150,,,-,,,-,,,-,,
Rajshahi,,,Sirajgonj General Hospital,,,,100,,,100,,,-,,,-,,,-,,
Total: 13 Nos.,,,,,,,1250,,,1150,,,100.00,,,1850,,,"1,650",,
,Sadar Hospital,,,,,,,,,,,,,,,,,,,,
Barisal,,,Barguna Sadar hospital,,,,100,,,100,,,-,,,-,,,-,,
Barisal,,,Bhola Sadar hospital,,,,100,,,100,,,-,,,150,,,50,,
Barisal,,,Jhalokhati Sadar hospital,,,,100,,,100,,,-,,,150,,,50,,
Barisal,,,Patuakhali Sadar hospital,,,,250,,,150,,,100,,,-,,,-,,
Barisal,,,Pirojpur Sadar hospital,,,,100,,,100,,,-,,,150,,,50,,
Chittagong,,,Bandarban Sadar hospital,,,,100,,,100,,,-,,,-,,,-,,
