0,1,2,3,4,5,6,7,8,9,10,11,12
District,"Bed
(N)",Admissions (N),,,Outdoor Patients (N),,,,"Av.
daily
admn
(N)","Av.
daily
OPD
pts (N)","ALS
(d)","BOR
(%)"
,,M,F,Total,M,F,Child,Total,,,,
Jessore,250,12414,13928,26342,62448,48594,31274,14231 6,72,390,4,101.55
Kushti a,150,13390,14490,27880,63298,59130,39116,16154 4,76,443,4,187.09
Narsingd i,200,2642,3116,5758,39346,29412,26822,95580,16,262,6,84.18
Pabna,120,15432,19072,34504,75952,78136,54520,20860 8,95,572,3,193.13
Panchagar h,100,4446,3228,7674,30848,21916,24434,77198,21,212,3,54.10
Chandpu r,200,4816,8396,13212,71192,36640,64030,17186 2,36,471,8,76.85
Jamalpu r,250,6478,6288,12766,40682,38624,27798,10710 4,35,293,6,66.10
Khuln a,150,3573,4941,8514,82473,75760,7576,16580 9,23,454,4,58.00
Thakurgao n,100,4596,19290,23886,43464,36732,56250,13644 6,65,374,3,162.53
Chittagon g,150,1380,2127,3507,35424,38736,21969,96129,10,263,12,76.32
Noakha li,250,13126,11560,24686,21972,15568,17060,54600,68,150,5,137.89
Nilphma ri,100,5776,10516,16292,48264,35458,44588,12831 0,45,352,2,107.59
,150,8394,9000,17394,56694,49236,43734,149664,48,410,5,154.17
,100,7212,5877,13089,43624,33088,34507,111219,36,305,4,122.10
,100,4906,6794,11700,45344,31630,34730,111704,32,306,6,114.00
,100,8606,11358,19964,72270,54748,45460,172478,55,473,3,169.89
,100,6436,4670,11106,42302 37194,,11060,90556,30,248,3,92.86
,100,7170,8588,15758,43030 28988,,40160,112178,43,307,3,107.62
