0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,Barisal Division,,,,,,,,,,,,,,,,,,Khulna Division,,,,,,,
,District,,,Barisal,,P,atuakhali,,,Bhola,,,Perojpur,,B,arguna,,J,halokhathi,,K,hulna,,B,agerhat,,S,atkhira,
Minor injuries,,,215,,,11202,,,1377,,,3665,,,1532,,,472,,,93,,,8277,,,87,,
"Deaths from
trauma",,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,
Diarrhea cases,,,614,,,2662,,,2010,,,1953,,,1247,,,806,,,370,,,7133,,,3741,,
"Deaths from
diarrhea",,,2,,,0,,,0,,,0,,,0,,,1,,,0,,,1,,,0,,
RTI cases,,,845,,,3164,,,614,,,1398,,,1611,,,309,,,332,,,6988,,,2434,,
Skin diseases,,,2056,,,11316,,,149,,,4604,,,4629,,,169,,,219,,,14788,,,1824,,
Conjunctivitis,,,436,,,2846,,,46,,,2089,,,2366,,,79,,,107,,,4611,,,2092,,
"Fever/ Enteric
fever",,,2914,,,11039,,,318,,,8135,,,8895,,,294,,,360,,,20503,,,1407,,
Jaundice,,,16,,,238,,,4,,,43,,,49,,,0,,,9,,,17,,,0,,
