0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,2004,,,,,,,2005,,,,,,,,,2006,,,,,,,2007,,,,,,,,,Total,,,,,,,,
,Medical or Dental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,College,,,M,,,F,,,T,,,M,F,,,T,,,M,,,F,,,T,,,M,,,F,T,,,M,,,F,,,T,,,M,,,F,,,T,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka Medical College,,,105,,,70,,,175,,,58,,50,,108,,,75,,,83,,,158,,,69,,,63,,132,,98,,,72,,,170,,,405,,,338,,,743,,
"SirSalimullah Medical
College",,,58,,,46,,,104,,,109,,88,,197,,,72,,,76,,,148,,,102,,,72,,174,,69,,,73,,,142,,,410,,,355,,,765,,
"Rajshahi Medical
College",,,102,,,70,,,172,,,181,,103,,284,,,97,,,79,,,176,,,102,,,58,,160,,91,,,59,,,130,,,573,,,369,,,922,,
"Rangpur Medical
College",,,89,,,65,,,154,,,176,,70,,246,,,115,,,77,,,192,,,72,,,79,,151,,82,,,76,,,158,,,534,,,367,,,901,,
"Mymensingh Medical
College",,,179,,,63,,,242,,,102,,95,,197,,,102,,,79,,,181,,,88,,,62,,150,,71,,,78,,,149,,,542,,,377,,,919,,
"Chittagong Medical
College",,,104,,,85,,,189,,,140,,68,,208,,,171,,,108,,,279,,,116,,,82,,198,,100,,,74,,,174,,,631,,,417,,,1048,,
"MAG Osmani Medical
College",,,105,,,69,,,174,,,79,,69,,148,,,88,,,77,,,165,,,136,,,160,,296,,112,,,85,,,197,,,520,,,460,,,980,,
"Shere Bangla Medical
College",,,134,,,90,,,224,,,157,,96,,253,,,112,,,76,,,188,,,96,,,74,,170,,71,,,78,,,149,,,570,,,414,,,984,,
"Faridpur Medical
College",,,44,,,31,,,75,,,37,,31,,68,,,22,,,16,,,38,,,39,,,39,,78,,19,,,21,,,40,,,161,,,138,,,299,,
"Begum Khaleda Zia
Medical College",,,28,,,22,,,50,,,34,,34,,68,,,35,,,32,,,67,,,21,,,38,,59,,39,,,39,,,78,,,157,,,165,,,322,,
"Dinajpur Medical
College",,,23,,,15,,,38,,,23,,24,,47,,,21,,,18,,,39,,,23,,,26,,49,,35,,,27,,,62,,,125,,,110,,,235,,
Khulna Medical College,,,25,,,20,,,45,,,35,,26,,61,,,29,,,25,,,54,,,31,,,17,,48,,24,,,19,,,43,,,144,,,107,,,251,,
Comilla Medical College,,,40,,,47,,,87,,,31,,37,,68,,,16,,,36,,,52,,,24,,,33,,57,,28,,,26,,,54,,,139,,,179,,,318,,
Dhaka Dental College,,,75,,,52,,,127,,,50,,31,,81,,,157,,,150,,,307,,,158,,,151,,309,,160,,,166,,,326,,,600,,,550,,,1150,,
"Chittagong Dental
College",,,16,,,10,,,26,,,12,,1,,13,,,6,,,3,,,9,,,-,,,-,,-,,-,,,-,,,-,,,34,,,14,,,48,,
Rajshahi Dental College,,,0,,,0,,,0,,,9,,4,,13,,,9,,,6,,,15,,,-,,,-,,-,,-,,,-,,,-,,,18,,,10,,,28,,
