0,1,2,3,4,5
Grade,,No. of,,No. of,
,Level,,Cadre Post(Regular),,Cadre Post(Temporary)
No.,,Posts,,Posts,
,,,,,
1,2,3,4,5,6
2,DG,1,Director General,,
,ADG,1,"Additional Director General
(Planning)",,
,ADG(Admin),1,"Additional Director General
(Administration)",,
,Director,2,NIPSOM,,
,Director Cum Professor,1,NIDCH,,
,OSD/Leave Reserve,1,,,
Total,,7,,0,
3,Director,22,"DGHS-Administration, Medical
Education, PHC, CMSD, IPH, IPHN,
IEDCR, RIHD, SSH, Medical
College Hospital-8, Divisional
Director-4, Mental Hospital",13,"Planning & Research, Homeo
Traditional Medicine, Finance,
MBDC, Hospital, Rheumatic Fever,
Center for Medical
Education(CME), Division-2,
Mental Health, NIMH&R"
,Director,1,Disease Control,,
,Principal,9,,5,5 MC-5
,Vice-Principal,8,,6,"1 Dental, 5 MC- 5"
,Director Cum Professor,2,"NIO, NICVD",2,"National Institute of Tromotology &
Orthopadic Rehabilitation
(NITOR), CIR&H, NIKDU,
SZMCH"
