0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
,,2001,,,,,,2002,,,,,,2003,,,,,,2004,,,,,,2005,,,,,,Total,,,,,
Sl.,Name of Institute,Admission,,,Passed,,,Admission,,,Passed,,,Admission,,,Passed,,,Admission,,,Passed,,,Admission,,,Passed,,,Admission,,,Passed,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,"Dhaka Medical College,
Dhaka",85,65,150,103,99,202,95,53,148,197,85,282,84,66,150,105,70,175,82,79,161,58,50,108,94,69,163,75,83,158,440,332,772,538,387,925
2,"Sir Salimullah Medical
College, Mitford, Dhaka",76,79,155,73,65,138,77,78,155,76,65,141,78,79,157,58,46,104,80,78,158,109,88,197,93,68,161,72,76,148,404,382,786,388,340,728
3,"Rajshahi Medical
College, Rajshahi",87,66,153,109,54,163,87,66,153,109,54,163,102,60,162,102,70,172,82,76,158,181,103,284,85,70,155,97,79,176,443,338,781,598,360,958
4,"Rangpur Medical
College, Rangpur",97,57,154,108,35,143,95,56,151,106,40,146,96,57,153,89,65,154,68,85,153,176,70,246,67,89,156,115,77,192,423,344,767,594,287,881
5,"Mymensingh Medical
College, Mymensingh",72,81,153,88,79,167,80,75,155,84,76,160,79,74,153,179,63,242,71,89,160,102,95,197,89,70,159,102,79,181,391,389,780,555,392,947
6,"Chittagong Medical
College, Chittagong",83,72,155,139,55,194,89,70,159,115,44,159,96,58,154,104,85,189,80,77,157,140,68,208,96,62,158,171,108,279,444,339,783,669,360,1029
7,"MAG Osmani Medical
College, Sylhet",86,67,153,84,53,137,85,65,150,85,53,138,93,69,162,105,69,174,93,61,154,79,69,148,89,66,155,88,77,165,446,328,774,441,321,762
8,"Sher-e-Bangla Medical
College, Barisal",86,66,152,81,45,126,106,51,157,115,65,180,86,70,156,134,90,224,90,63,153,157,96,253,84,70,154,112,76,188,452,320,772,599,372,971
9,"Faridpur Medical
College, Faridpur",23,24,47,20,20,40,22,31,53,22,21,43,29,22,51,44,31,75,25,24,49,37,31,68,28,21,49,22,16,38,127,122,249,145,119,264
10,"Shahid Ziaur Rhaman
Medical College,Bogra",22,27,49,81,43,124,23,30,53,23,13,36,33,23,56,28,22,50,20,37,57,34,34,68,56,45,101,35,32,67,154,162,316,201,144,345
11,"Dinajpur Medicall
College, Dinajpur",18,26,44,19,16,35,26,24,50,20,19,39,26,24,50,23,15,38,23,28,51,23,24,47,21,33,54,21,18,39,114,135,249,106,92,198
12,"Khulna Medical College,
Khulna",33,20,53,33,11,44,33,20,53,23,18,41,32,18,50,25,20,45,27,29,56,35,26,61,26,30,56,29,25,54,151,117,268,145,100,245
13,"Comilla Medical Collge,
Comilla",21,28,49,30,14,44,20,37,57,20,23,43,27,28,55,40,47,87,36,21,57,31,37,68,44,63,107,16,36,52,148,177,325,137,157,294
14,"Dhaka Dental College,
Dhaka",27,37,64,31,21,52,27,37,64,50,37,87,26,39,65,75,52,127,35,33,68,50,31,81,58,40,98,157,150,307,173,186,359,363,291,654
15,"Chittagong Dental
College(Unit), Ctg",6,12,18,9,11,20,3,8,11,6,7,13,8,11,19,16,10,26,5,13,18,12,1,13,19,23,42,6,3,9,41,67,108,49,32,81
16,"Rajshahi Dental
College(Unit), Rajshahi",5,9,14,10,8,18,7,8,15,7,8,15,7,12,19,0,0,0,7,10,17,9,4,13,18,23,41,9,6,15,44,62,106,35,26,61
Total,,827,736,1563,1018,629,1647,875,709,1584,1058,628,1686,902,710,1612,1127,755,1882,824,803,1627,1233,827,2060,967,842,1809,1127,941,2068,4395,3800,8195,5563,3780,9343
