0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,".oN
.lS",,,"snoitutitsnI
fo
leveL",,,".latipsoh
fo
.oN",,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ecnadnetta
roodtuO",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"fo
sdeb
fo
.oN","slatipsoh
eht",,"stneitap
fo
.oN",dettimdA,,,"stneitap
fo
.oN",deid,,,"stneitap
fo
.oN",egrahcsid,,,"tneitap
fo
.oN",syad,,,"ycnapucco
deB",")%(
etar",,,"htaed
latipsoH",")%(
etar",,,egarevA,"yats
fo
noitarud",,,,
1,,,"Post Graduate
Hospital",,,2,,,800,,19326,,,,1850,,,,18524,,,,241606,,,,82.74,,,,9.07,,,,11.86,,,,41489,,
2,,,"Medical College
Hospital",,,7,,,3200,,253310,,,,20802,,,,222951,,,,1566049,,,,134.08,,,,8.13,,,,6.43,,,,1487744,,
3,,,Mental Hospital,,,1,,,400,,1030,,,,6,,,,894,,,,135646,,,,92.91,,,,0.58,,,,1.51,,,,,,
4,,,"Chest Clinics &
Chest Hospital",,,4,,,406,,1744,,,,94,,,,1622,,,,99516,,,,67.15,,,,5.39,,,,67.15,,,,,,
5,,,"Chest Clinics &
Chest Hospital",,,3,,,60,,286,,,,12,,,,266,,,,14694,,,,67.1,,,,4.20,,,,52.68,,,,,,
6,,,Leprosy Hospital,,,3,,,130,,459,,,,0,,,,422,,,,25619,,,,53.99,,,,0.00,,,,61,,,,9506,,
7,,,"Infectious Disease
Hospital",,,3,,,60,,2954,,,,84,,,,2788,,,,17208,,,,78.58,,,,3.00,,,,6,,,,,,
8,,,"250-beded District
Hospital",,,1,,,250,,15882,,,,1098,,,,17292,,,,101100,,,,110.79,,,,6.25,,,,4,,,,68028,,
9,,,"150-beded District
Hospital",,,3,,,450,,31743,,,,1259,,,,29668,,,,152781,,,,93.02,,,,4.24,,,,5,,,,190304,,
10,,,"100-beded District
Hospital",,,18,,,1800,,170733,,,,6036,,,,162560,,,,725301,,,,110.4,,,,3.71,,,,4,,,,1215935,,
11,,,"50-beded district
hospital",,,21,,,1050,,144823,,,,3808,,,,136321,,,,520151,,,,135.72,,,,3.58,,,,4,,,,2791744,,
