0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,".oN
.lS",,,"fo
leveL",snoitutitsnI,,,".latipsoh
fo
.oN",,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roodtuO,ecnadnetta,
,,,,,,,,,,"fo
sdeb
fo
.oN","slatipsoh
eht",,"stneitap
fo
.oN",dettimdA,,,"stneitap
fo
.oN",deid,,,"stneitap
fo
.oN",egrahcsid,,,"tneitap
fo
.oN",syad,,,"ycnapucco
deB",")%(
etar",,,"htaed
latipsoH",")%(
etar",,,egarevA,"yats
fo
noitarud",,,,,
1,,,"Post Graduate
hospital",,,,4,,,1300,,42739,,,,2130,,,,41260,,,,386503,,,,81.46,,,,4.93,,,,8.91,,,,24795,,,
2,,,"Medical College
Hospital",,,,9,,,4850,,413116,,,,20064,,,,384598,,,,2352534,,,,132.89,,,,4.86,,,,5.81,,,,2717306,,,
3,,,Mental Hospital,,,,1,,,400,,502,,,,6,,,,380,,,,67318,,,,46.11,,,,1.58,,,,177.20,,,,10140,,,
4,,,"Institute of Mental
Health",,,,1,,,150,,1018,,,,3,,,,936,,,,27639,,,,50.48,,,,0.32,,,,30.00,,,,10811,,,
5,,,"Chest Clinics &
Chest Hospital",,,,4,,,406,,2492,,,,52,,,,2410,,,,126762,,,,85.54,,,,2.16,,,,52.60,,,,,,,
6,,,"Chest Clinics &
Chest Hospital",,,,4,,,80,,768,,,,28,,,,692,,,,37500,,,,128.42,,,,4.05,,,,54.20,,,,,,,
7,,,Leprosy Hospital,,,,3,,,130,,689,,,,4,,,,628,,,,33945,,,,74.54,,,,0.93,,,,54.00,,,,11162,,,
8,,,"Infectious Disease
Hospital",,,,3,,,60,,4273,,,,118,,,,4075,,,,12097,,,,55.23,,,,3.00,,,,,,,,,,,
9,,,"250-beded District
Hospital",,,,2,,,500,,49824,,,,2084,,,,47436,,,,220734,,,,120.95,,,,4.39,,,,5.00,,,,191584,,,
10,,,"150-beded District
Hospital",,,,3,,,450,,45666,,,,1976,,,,43620,,,,205412,,,,125.06,,,,4.53,,,,5.00,,,,281990,,,
11,,,"120-beded District
Hospital",,,,1,,,120,,26354,,,,1134,,,,25238,,,,69364,,,,158.37,,,,4.49,,,,3.00,,,,180098,,,
12,,,"100-beded District
Hospital",,,,36,,,3600,,387087,,,,12378,,,,374339,,,,1462936,,,,111.33,,,,3.19,,,,4.00,,,,3221006,,,
13,,,"50-beded District
Hospital",,,,2,,,100,,17620,,,,563,,,,17023,,,,27766,,,,96.49,,,,3.19,,,,3.00,,,,154349,,,
14,,,"Upazila Health
Complex",,,,271,,,8401,,929898,,,,13244,,,,881850,,,,2408080,,,,78.53,,,,1.50,,,,2.73,,,,17262154,,,
15,,,"School health
clinic",,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113268,,,
16,,,"Urban
Dispensaries",,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331324,,,
17,,,Union Sub Center,,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13107704,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37547454,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
