0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,"Percentage of children ( 0 <2 yrs) covered, 2001-2005",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,,% of,% of,% of,% of,% of,% of,% of,% of,% of,% of
,Terget,,,,,,,,,,
,,BCG,DPT1,DPT2,DPT3,OPV1,OPV2,OPV3,OPV4,Measles,Vita-A
,,,,,,,,,,,
2001,3051222,104.82,104.03,104.48,101.34,104.04,104.14,101.18,77.43,98.82,75.04
2002,3306089,100.84,100.19,101.25,99.10,99.67,100.88,98.64,88.54,97.44,88.65
2003,3623462,97.50,96.31,96.72,95.37,96.37,96.55,95.18,92.50,93.53,85.07
2004,3421614,104.64,103.82,104.13,102.53,103.88,104.08,102.51,102.32,103.11,96.47
2005,3732591,96.90,95.59,96.49,95.73,95.61,96.43,95.67,93.54,94.00,86.50
