0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,Reg. on 31/12/'01 to,,,,,,,,,,,,,,,Completed MDT,,,
,,,,,,Newly Detected Cases (January to December),,,,,,,,,,,,,,
,,31/12/05,,,,,,,,,,,,,,,(January to December),,,
,,,,,,,,,,,,,,,,,,,,
,,,,,PR/,,,,,,,,,,,DR/,,,,
Year,Population,,,,,,PB,,,,,,,,,,,PB,,
,,,,,10000,,,,,,- 15,Deform-,Contact,,Refer &,100000,,,,
,,MB,PB 2-5,Total,,MB,,,Total,+ ve,,,,Volun,,,MB,,,Total
,,,,,,,,,,,yrs,ity Gr-II,Exam.,,Other,,,,,
,,,,,,,PB 2-5,Single,,,,,,,,,,PB 2-5,Single,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2001,130018906,4467,4124,8591,0.66,3744,6750,793,11287,930,1521,811,1380,4599,5308,8.68,4063,5954,578,10595
2002,132008196,4222,4300,8522,0.65,3504,5489,851,9844,772,1101,712,1229,4013,4623,7.46,3461,5585,817,9863
2003,133997484,3462,2905,6367,0.48,733,1126,178,2037,168,190,122,212,664,1119,1.52,812,1057,145,2014
2004,135986774,3223,3477,6700,0.49,2885,4591,766,8242,679,816,561,866,2949,4427,6.06,3076,4164,749,7989
2005,137976062,3247,2948,6195,0.45,3018,4430,435,7883,669,806,650,873,2730,4280,5.71,3306,4526,536,8368
,,,,,,,,,,,,,,,,,,,,
Total,669987422,18621,17754,36375,0.54,13884,22386,3023,39293,3218,4434,2856,4560,14955,19757,5.86,14718,21286,2825,38829
,,,,,,,,,,,,,,,,,,,,
%,,51.19,48.81,100.00,,35.33,56.97,7.69,100.00,8.19,11.28,7.27,11.61,38.06,50.28,,37.90,54.82,7.28,100.00
