0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Sl.
No
.",,,"Name of Health Institution/ Health
Complex/ Hospital",,,,,,,,,,,,,,,If not functioning; from which,,Remarks,,
,,,,,,,Number of Ambulance,,,,,,,,,,,date & whether repairable or,,,,
,,,,,,"(If not
available
mark as nil)",(If not,,"Whether T&E
no. present or not",,,"Functioni
ng",,"Non-
functioni
ng",Non-,,,not.,,,,
,,,,,,,available,,,,,,,,functioni,,,"If repairable, what measures",,,,
,,,,,,,mark as nil),,,,,,,,ng,,,taken & if not repairable,,,,
,,,,,,,,,,,,,,,,,,whether condemn declared or,,,,
,,,,,,,,,,,,,,,,,,not,,,,
,1,,,2,,,3,,,4,,5,,,6,,,7,,,8,
1,,,Dhaka Medical College Hospital,,,5,,,Not under T&E,,,3,,2,,,"Vista-Korea is unserviceable
from 14/11/2002. Mitsubishi L-
300 is unserviceable from
25/04/2004",,,"Repairable but
cannot be done
due to lack of
fund",,
2,,,Faridpur Medical College Hospital,,,3,,,Under T&E (3),,,3,,,,,-,,,,,
3,,,"Government Unany & Ayurbedic Degree
College Hospital",,,1,,,Under process,,,1,,,,,-,,,,,
4,,,Homeopathic Degree College & Hospital,,,1,,,-,,,1,,-,,,,,,,,
5,,,Sir Salimullah Medical College Hospital,,,3,,,-,,,3,,-,,,-,,,,,
6,,,Dhaka Dental College Hospital,,,1,,,Under process,,,1,,-,,,-,,,,,
7,,,Mymensing Medical College Hospital,,,2,,,-,,,2,,-,,,-,,,,,
8,,,Chittagong Medical College Hospital,,,6,,,Under process,,,4,,2,,,-,,,,,
9,,,Comilla Medical College Hospital,,,4,,,-,,,3,,1,,,-,,,,,
10,,,Rajshahi Medical College Hospital,,,4,,,Not under T&E,,,3,,1,,,Under process of condemnation,,,,,
11,,,Rangpur Medical College Hospital,,,12,,,-,,,2,,10,,,"No. Cha-02-0065 in Temo, No.
Rangpur Cha-02-0003 under
process of auction & No. 2806,
2756, 4451 = 3 auction
completed",,,,,
12,,,Dinajpur Medical College Hospital,,,2,,,Not under T&E,,,1,,1,,,Under Process,,,,,
