0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Sl No.,,,Name of District,,,,Total No. of,,Functioning,,,Non- Functioning,,
,,,,,,,Ambulance,,,,,,,
,1,,,2,,,3,,,4,,,5,
4,,,Jessore,,,7,,,5,,,2,,
5,,,Narail,,,3,,,2,,,1,,
6,,,Magura,,,3,,,3,,,0,,
7,,,Jhenaidah,,,9,,,7,,,2,,
8,,,Khulna,,,8,,,8,,,0,,
9,,,Bargerhat,,,8,,,4,,,4,,
10,,,Satkhira,,,8,,,5,,,3,,
,Total,,,,,,58,,,43,,,15,
Barisal Division,,,,,,,,,,,,,,
1,,,Patuakhali,,,6,,,5,,,1,,
2,,,Barguna,,,5,,,3,,,2,,
3,,,Barisal,,,10,,,9,,,1,,
4,,,Bhola,,,11,,,8,,,3,,
5,,,Jhalakathi,,,3,,,2,,,1,,
6,,,Perojpur,,,9,,,7,,,2,,
,Total,,,,,,44,,,34,,,10,
Rajshahi Division,,,,,,,,,,,,,,
1,,,Dinajpur,,,11,,,9,,,2,,
2,,,Panchagarh,,,5,,,4,,,1,,
3,,,Thakurgaon,,,4,,,4,,,0,,
4,,,Rangpur,,,8,,,5,,,3,,
5,,,Lalmonirhat,,,4,,,1,,,3,,
6,,,Gaibandha,,,7,,,4,,,3,,
7,,,Nilphamari,,,5,,,2,,,3,,
8,,,Kurigram,,,9,,,5,,,4,,
9,,,Bogra,,,12,,,7,,,5,,
10,,,Joypurhat,,,6,,,4,,,2,,
11,,,Rajshahi,,,14,,,7,,,7,,
12,,,Naogaon,,,17,,,9,,,8,,
13,,,Chai Nawabganj,,,5,,,2,,,3,,
14,,,Pabna,,,10,,,5,,,5,,
15,,,Serajgonj,,,14,,,6,,,8,,
16,,,Natore,,,7,,,4,,,3,,
,Total,,,,,,138,,,78,,,60,
,Grand Total,,,,,,499,,,318,,,181,
