0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Mitigation and Monitoring Items,,,Unit,,,Cost/Unit,,,Total Unit,,,Total Cost,
,1. Workers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,No.,,,270,,,30,,,8100,,
,Helmet,,,No.,,,350,,,30,,,10500,
Safety shoes,,,No.,,,430,,,30,,,12900,,
,Safety Goggles,,,No.,,,280,,,30,,,8400,
Hand Sanitizer (5 Liter),,,No.,,,2600,,,3,,,7800,,
,One time Face Mask,,,No.,,,500,,,10,,,5000,
Thermometer for measuring body temperature,,,No.,,,1000,,,2,,,2000,,
,Fire extinguisher,,,No.,,,1299,,,5,,,6495,
First Aid Box,,,No.,,,2500,,,2,,,5000,,
,Torch Light,,,No.,,,1090,,,2,,,2180,
Sub-total excluding over-head & profit =,,,,,,,,,,,,68375,,
,2. Engineers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,No.,,,270,,,5,,,1350,,
,Helmet,,,No.,,,1140,,,5,,,5700,
Safety shoes,,,No.,,,2000,,,5,,,10000,,
,Safety Goggles,,,No.,,,2100,,,5,,,10500,
Hand Sanitizer (5 Liter),,,No.,,,2600,,,1,,,2600,,
,One time Face Mask,,,No.,,,500,,,1,,,500,
Thermometer for measuring body temperature,,,No.,,,1000,,,1,,,1000,,
,First Aid Box,,,No.,,,2500,,,1,,,2500,
Sub-total excluding over-head & profit =,,,,,,,,,,,,34150,,
,"3.Training on Occupational Health and Safety, and COVID-19 Safety Protocol",,,,,,,,,,,,,
"Train on correct use and disposal of personal protective
equipment (PPE)",,,No.,,,20000,,,2,,,40000,,
,"Leaflet/poster for awareness among the workers, staffs and",,No.,,,1000,,,3,,,3000,,
,nearby communities,,,,,,,,,,,,,
Sub-total excluding over-head & profit =,,,,,,,,,,,,43000,,
,"4. Waste Management, Potable Water Supply and Sanitation Facility",,,,,,,,,,,,,
Supply of waste bins/pots for different wastes,,,No.,,,2400,,,15,,,36000,,
,Cost for drinking water,,,No.,,,15000,,,2,,,30000,
"Cost for Sanitation facilities (hand tube well, latrine etc.)",,,No.,,,35000,,,1,,,35000,,
,Cost for safety notices/signboards/protocol at site,,,No.,,,500,,,5,,,2500,
Sub-total excluding over-head & profit=,,,,,,,,,,,,139500,,
,5. Autoclave,,,,,,,,,,,,,
Supply and installation of a 200L capacity vertical autoclave,,,Nos.,,,300000,,,1,,,300000,,
,Sub-total excluding over-head & profit =,,,,,,,,,,,,300000,
Total Including over-head & profit,,,,,,,,,,,,623143.37,,
,"Total Including over-head, profit & VAT",,,,,,,,,,,,718183.33,
Grand Total =,,,,,,,,,,,,718183.33,,
,"Note: Considering Over-head 3.5%, Profit - 10%, VAT 7.5%, Adjustment factor 1.08108",,,,,,,,,,,,,
