0,1,2,3
Sl.,,Status of,
,Covenant,,Action Required
,,Compliance,
No.,,,
Environment:,,,
1.,"The Borrower shall ensure, or cause the Project Executing Agency to ensure that the
preparation, design, construction, implementation, operation and decommissioning of the
project, each Subproject and all project facilities comply with (a) all applicable laws, rules and
regulations of the Borrower relating to environment, health and safety; (b) the Environmental
Safeguards; (c) the EARF; and (d) all measures and requirements set forth in the respective
limited assessment (Environmental Screening & ECOPs) and Detailed Assessment (IEE
including EMP), and any corrective or preventative actions set forth in a Safeguards Monitoring
Report.",Being complied,"IEE and EMP is prepared by complying all relevant National Laws,
Safeguard Policy Statement (SPS 2009) of ADB, Environment Assessment
Review Framework (EARF). IEE/EMP will be updated and revised in case of
any change of scope and location. All measures and requirements as
prescribed in EMP is being considered during implementation. Corrective or
preventive action plans are reflected in Environment Monitoring Report and
project implementation authority is taking care."
Small Ethnic Community Peoples:,,,
2.,"The Borrower shall ensure, or cause the project Executing Agency to ensure that the
preparation, design, construction, implementation and operation of the project and all project
facilities comply with (a) all applicable laws, rules and regulations of the Borrower relating to
small ethnic community peoples; (b) the indigenous peoples Safeguards; (c) the SECPF, and
(d) all measures and requirements set forth in the respective SECDP, and any corrective or
preventative actions set forth in a Safeguards Monitoring Report.",Being Complied,"No small ethnic people’s impacts have yet been involved in the project
activities."
Human and Financial Resources to Implement Safeguards Requirements:,,,
3.,"The Borrower shall make available, or cause the project Executing Agency to make available,
necessary budgetary and human resources to fully implement the EMP, the RP and the SECDP
(if any).",Being Complied,"Budgetary provisions are included in EMP for several ongoing packages of
the emergency response project. Environment and Social Management
Coordinator of PMU/PIU is in place. Human resource (project consultant, i.e.,
Environmental Specialist) for implementation of EMPs is in place for regular
compliance."
Safeguards Related Provisions in Bidding Documents and Works Contracts:,,,
4.,"The Borrower shall ensure, or cause the project Executing Agency to ensure, that all bidding
documents and contracts for Works contain provisions that require contractors to:",Being Complied,"(a) The limited assessment (Environmental Screening) and Detailed
Assessment (IEE including EMP) are prepared by Project consultant. The
EMP has also added in the bid document. Corrective measures (if any); will
be disclosed to contractor and same will be reflected in the “Environment
Monitoring Report”.
(b) The limited assessment (Environmental Screening & ECOPs) and
Detailed Assessment (IEE including EMP) is prepared and added in the
indicates budgetary provisions of bidding documents.
(d) Haul roads are marked properly (by avoiding residences and agricultural
land) before commencement of transportation of materials."
,"(a) comply with the measures relevant to the contractor set forth in the limited assessment
(Environmental Screening & ECOPs) and Detailed Assessment (IEE including EMP), the RP
and the SECDP (to the extent they concern impacts on affected people during construction),
and any corrective or preventative actions set forth in a Safeguards Monitoring Report;",,
,(b) make available a budget for all such environmental and social measures;,,
,"(c) provide the Borrower with a written notice of any unanticipated environmental,
resettlement or indigenous peoples risks or impacts that arise during construction,
implementation or operation of the Project that were not considered in the limited assessment
(Environmental Screening & ECOPs) and Detailed Assessment (IEE including EMP), the RP
or the SECDP (if any);",,
,"(d) adequately record the condition of roads, agricultural land, and other infrastructure prior
to starting to transport materials and construction, and",,
