0,1,2,3
Sl.,,Status of,Action
,Covenant,,
No.,,Compliance,Required
Environment:,,,
1.,"The Borrower shall ensure, or cause the Project Executing Agency to ensure that the
preparation, design, construction, implementation, operation and decommissioning of
the project, each Subproject and all project facilities comply with (a) all applicable laws,
rules and regulations of the Borrower relating to environment, health and safety; (b) the
Environmental Safeguards; (c) the EARF; and (d) all measures and requirements set
forth in the respective limited assessment (Environmental Screening & ECOPs) and
Detailed Assessment (IEE including EMP), and any corrective or preventative actions
set forth in a Safeguards Monitoring Report.",Complied with,"Document is under preparation by complying all relevant National
Laws, Safeguard Policy Statement (SPS 2009) of ADB, Environment
Assessment Review Framework (EARF). The limited assessment
(Environmental Screening & ECOPs) and Detailed Assessment (IEE
including EMP) shall be prepared by the project consultant. All
measures and requirements should be prescribed in IEE and EMP
will be considered during implementation stage of the project.
Corrective or preventive action plans will be reflected in environment
Monitoring Report and project implementation authority will be taken
care."
Small Ethnic Community Peoples:,,,
2.,"The Borrower shall ensure, or cause the project Executing Agency to ensure that the
preparation, design, construction, implementation and operation of the project and all
project facilities comply with (a) all applicable laws, rules and regulations of the
Borrower relating to small ethnic community peoples; (b) the indigenous peoples
Safeguards; (c) the SECPF, and (d) all measures and requirements set forth in the
respective SECDP, and any corrective or preventative actions set forth in a Safeguards
Monitoring Report.",Being Complied,"No major small ethnic people’s impacts will be involved in the project
activities."
Human and Financial Resources to Implement Safeguards Requirements:,,,
3.,"The Borrower shall make available, or cause the project Executing Agency to make
available, necessary budgetary and human resources to fully implement the EMP, the
RP and the SECDP (if any).",Being Complied,"Budgetary provisions are not yet included in EMP of the emergency
response project. Environment and Social Management
Coordinator of PMU/PIU is in place. Human resource (project
consultant, i.e. Environmental Specialist) for implementation of EMPs is
in place for regular compliance."
Safeguards Related Provisions in Bidding Documents and Works Contracts:,,,
4.,"The Borrower shall ensure, or cause the project Executing Agency to ensure, that all
bidding documents and contracts for Works contain provisions that require contractors
to:",Being Complied,"(a) The limited assessment (Environmental Screening) and Detailed
Assessment (IEE including EMP) shall be prepared by Project
consultant. No bidding document is prepared yet to add with the EMP.
The limited assessment (Environmental Screening & ECOPs) and
Detailed Assessment (IEE including EMP) will be prepared and
corrective measures will be disclosed to contractor and same will be
reflected in the “Environment Monitoring Report”.
(b) The limited assessment (Environmental Screening & ECOPs) and
Detailed Assessment (IEE including EMP) is under preparation and not
yet added in the indicates budgetary provisions because the bidding"
,"(a) comply with the measures relevant to the contractor set forth in the limited
assessment (Environmental Screening & ECOPs) and Detailed Assessment (IEE
including EMP), the RP and the SECDP (to the extent they concern impacts on affected
people during construction), and any corrective or preventative actions set forth in a
Safeguards Monitoring Report;",,
,(b) make available a budget for all such environmental and social measures;,,
,"(c) provide the Borrower with a written notice of any unanticipated environmental,
resettlement or indigenous peoples risks or impacts that arise during construction,",,
