0,1,2,3,4,5,6,7
SI. No,,Name of Medical,,Isolation Unit (50 bed),ICU/CCU (10 bed),PCR Lab,Remarks
,,College Hospital,,,,,
1,2,,,3,4,5,6
,,,,,,"Renovation
needed. Expert
Available.",
9,"Sheikh Hasina
Medical College,
Tangail.",,,"Sheikh Hasina Medical College and Hospital of
Tangail is not completed and functional yet, but
there is adequate space in Trauma Center of this
campus.
Trauma Center is available with 4-storied building.
Each floor size is about approx. 3500sft.
Trauma Center is more or less ready but need
some remodeling to establish improved the whole
environment.",,"PCR lab required.
Space available.
Ref: Consultation
with Principal on
11/07/20","PCR: Phase 1
ICU-Phase 1
Isolation-Phase 1"
10,"Bogra Medical
College Hospital",,,"New Constructions
needed; land available.","New Constructions
needed; land
available.","No PCR Lab. New
Lab in Hospital
needed, Space not
available. No
expert to operate.","PCR: Phase 2
ICU-Phase 3
Isolation-Phase 3"
11,"Barisal Medical
College Hospital",,,"New construction required. Vertical extension of
ICU & Causality bldg from 2nd to 5th floor is
recommended but another project ""Establishment
of Burn Unit at 5 MCH"" is proposed in the same
building under SFD.",,"No PCR Lab with
vertical extension.
New Lab in
Hospital needed,
Space not
available. No
expert to operate.","PCR: Phase 2
ICU-Phase 3
Isolation-Phase 3"
12,"Rangpur Medical
College Hospital",,,"New construction required in the under-
construction Isolation bldg from 6th floor to 9th
floor.",,,"PCR: Phase 3
ICU-Phase 3
Isolation-Phase 3"
13,"Faridpur Medical
College Hospital",,,"Renovation needed in
the existing isolation
ward, medicine ward and
female paying ward for
50 bed isolation unit.","Renovation needed in
the Pediatric word for
10 bed ICU","1500 sft space
available for PCR
lab. Renovation
required","PCR: Phase 1
ICU-Phase 1
Isolation-Phase 1"
14,"Chittagong Medical
College Hospital,
Chittagong",,,"New bldg construction is
required","New bldg construction
is required",,"PCR: Phase 3
ICU-Phase 3
Isolation-Phase 3"
15,"M A G Osmai
Medical College
Hospital.",,,"New bldg construction is
required","New bldg construction
is required",,"PCR: Phase 3
ICU-Phase 3
Isolation-Phase 3"
16,"Comilla Medical
College Hospital.",,,"Floor space available
which can be handed
over by 7 days;
Renovation/Refurbishme
nt needed in the 5th floor
of ICU building (8600 sft)","Floor space available
which can be handed
over by 7 days;
Renovation needed in
the 2nd floor of New
Hospital bldg. at
Cardiology Dep’t.
8 reusable beds
AC-not working
Separate toilet for
Male/Female;
Doctors/Nurses
Fully equipped CCU","Renovation
needed in the 2nd
floor of New
Hospital bldg. at
Pathology Dep’t.
Microbiology lab
exists.
Required another
one;
Biosafety level 3
Floor space
available which
can be handed","PCR: Phase 1
ICU-Phase 1
Isolation-Phase 1"
