0,1,2,3,4,5,6,7,8,9,10
"SL
No",Description,"Estimated
Cost",IFT Date,"Opening
Date",NOA Date,"Contract
Sign
Date","Completion
Date","Contract
Price","Physical
Progress",Remark
1,Dhaka Medical College Hospital,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",339.21,6/12/2021,3/1/2022,,,,,5%,Tender invited.
b,Installation of Medical Gas System,50.00,15/09/21,18/10/21,25/11/21,6/12/2021,5/10/2022,43.89,,"Work will start after completing
civil work."
2,Mugda 500 bed General Hospital,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",20.00,9/9/2021,30/09/21,23/11/21,25/11/21,25/01/22,19.97,15%,Work completed.
b,Installation of Medical Gas System,224.26,28/09/21,27/10/21,,,,213.09,,"ADB review is given, ACE
approval required."
3,"Rajshahi Medical College Hospital, Rajshahi",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",1096.09,8/8/2021,7/9/2021,12/10/2021,31/10/21,31/07/22,1095.42,20%,"Shuttering work for roof
casting is going on."
b,Installation of Medical Gas System,70.00,12/8/2021,7/9/2021,14/10/21,31/10/21,31/07/22,59.94,,
4,"Shaheed Suhrawardy Medical College Hospital, Dhaka",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",130.26,5/9/2021,29/09/21,19/10/21,24/10/21,24/04/22,129.87,90%,"Civil work completed & MG
work almost 90% done."
b,Installation of Medical Gas System,258.98,12/9/2021,11/10/2021,13/12/21,23/12/21,23/06/22,249.54,,
5,"Mymensingh Medical College Hospital, Mymensingh",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",74.90,25/08/21,20/09/21,14/11/21,16/11/21,16/02/22,62.89,100%,Work completed.
b,Installation of Medical Gas System,61.98,25/08/21,20/09/21,14/11/21,16/11/21,16/02/22,53.28,,
6,"Faridpur Medical College Hospital, Faridpur",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",57.02,16/08/21,8/9/2021,19/10/21,19/10/21,30/12/21,51.23,100%,Work completed.
7,"Cumilla Medical College Hospital, Cumilla",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",88.35,15/06/21,13/07/21,20/09/21,21/09/21,21/12/21,84.75,15%,"Ceiling plaster is completed.
Floor finish dismantling & MG
line shifting is going on."
b,Installation of Medical Gas System,68.63,15/06/21,13/07/21,25/10/21,26/10/21,26/01/22,61.76,,
8,"Sheikh Hasina Medical College Hospital, Tangail",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",57.98,,,,,,,0%,Work will be done later.
b,Installation of Medical Gas System,60.00,,,,,,,,
9,"Khulna Medical College, Khulna.",,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350.00,-,-,,,,,0%,ADB's review is pending.
