0,1,2,3
Sl.,,Status of,
,Covenant,,Action Required
No.,,Compliance,
,"(e) reinstate pathways, other local infrastructure, and agricultural land to at least their pre-
project condition upon the completion of construction.",,"(e) Pathways, land which are likely to be affected for a short period during
implementation of the sub project will be restored by concerned construction
agency before acceptance of the work. Restoration status will be reflected in
post construction monitoring report."
,Safeguard Monitoring and Reporting:,,
5.,The Borrower shall do the following or cause the project Executing Agency to do the following:,Being Complied,"(a) As per action plan of ADB, semi-annual Monitoring Report is prepared
regularly, which covers loan covenant part, management plan format and
construction compliance.
(b) With the development of project and implementation, in case of
additional impacts/risks due to change in scope/area, will be reflected in
limited assessment (Environmental Screening & ECOPs) and Detailed
Assessment (EMP) and accordingly Executing Agency (EA) will inform the
ADB along with corrective action plan which will be reflected in the Monitoring
Report.
(c) in case of any breach of compliance with the measures and requirements
set forth in the EMP; EA will promptly inform ADB, and suitable corrective
action plan will be planned."
,"(a) submit semiannual safeguards Monitoring Reports to ADB and disclose relevant
Information from such reports to affected persons promptly/upon submission;",,
,"(b) If any unanticipated environmental and/or social risks and impacts arise during
construction, implementation or operation of the project that were not considered in the limited
assessment (Environmental Screening & ECOPs) and Detailed Assessment (IEE including
EMP), the RP or the SECDP (if any) promptly inform ADB of the occurrence of such risks or
impacts, with detailed description of the event and proposed corrective action plan; and",,
,"(c) Report any actual or potential breach of compliance with the measures and requirements
set forth in the limited assessment (Environmental Screening & ECOPs) and Detailed
Assessment (IEE including EMP), the RP or the SECDP (if any) promptly after becoming aware
of the breach.",,
,"Labor, Health and Anti-Human Trafficking:",,
6.,"The Borrower, the Project Executing Agency and Participating Pourashavas shall ensure that
contractors, comply with all applicable labor, health, and safety laws, rules, and regulations of
the Borrower and, in particular, (a) do not employ child labor for construction and maintenance
activities; and (b) provide appropriate facilities (latrines, etc.) for workers at construction sites.
The Borrower shall require contractors not to differentiate wages between men and women for
work of equal value. The Borrower and the Project Executing Agency shall ensure that specific
clauses are included in bidding documents to ensure adherence to these provisions, and that
compliance shall be strictly monitored during Project implementation.",Being Complied,"PMU through its Consultants is supervising and monitoring the compliance
with labor, health, and safety law regulations. The project work will in full
compliance with ADB's requirements"
7.,"The Borrower, the Project Executing Agency and Participating Pourashavas shall ensure that
contractors shall disseminate information on the risk of transmission of sexually transmitted
diseases, including HIV/AIDS, in health and safety programs to all construction workers
employed under the Project. Specific provisions to this effect shall be included in bidding
documents and civil works contracts, and compliance shall be monitored by the Project
Executing Agency and reported to ADB.",Being Complied,"Provisions are included (as per EMP & BID document) to carry out HIV/AIDS
awareness programs for construction contractor, application of all relevant
labour laws for health and safety including child labour law and engagement
of local labours (preferably from economically backward group) covering
women labours. In case of any breach of provision, necessary corrective
measures as per contract clauses shall be taken. All activities including
awareness program will be reflected in “Monitoring Report”."
8.,"The Borrower, the Project Executing Agency and Participating Pourashavas shall ensure that
awareness campaign on anti-human trafficking shall be conducted and that information and
print material on anti-human trafficking shall be developed and distributed to all construction",Being Complied,
