0,1,2,3,4,5
COVID-19 Response Questions,DMCH,RMCH,CuMCH,MMCH,Remarks
Engage a full time EHS professional at site,FC,FC,FC,FC,
"Purchase thermometer gun, soap, hand sanitizer, disinfectants,
and PPEs (mask, hand gloves, hard shoes etc.) and keep it at
worksite office.",FC,FC,FC,FC,
"Establish site entrance protocol. Redesign the site safety
notices/signboards/protocol according to the ADB guidelines",FC,FC,FC,FC,
"Arrange washbasin, soap, and clean water at the entrance of
every worksite/campsite. Also keep either a disinfectant tub for
shoes or keep disinfectant spray that must be sprayed under the
boots/hard shoes of the persons entering worksite.",FC,PC,PC,PC,"Contractors are
advised to arrange
necessary cleaning
materials"
"Provide every personnel working in the site with mask, hand
gloves and hard shoes for their personal use.",FC,FC,FC,FC,
"Everyone entering the worksite must wear a mask, gloves and
hard shoes",FC,PC,PC,PC,"Workers are
advised to wear the
PPEs and
Contractor’s
Engineer will
ensure it"
Daily worksite protocol,FC,FC,PC,FC,"Contractor is
advised to ensure"
At the start and end of the day disinfect the total worksite.,PC,FC,PC,FC,"Contractor is
advised to ensure"
"Encourage site personnel/camp dwellers to not touch their eyes,
mouth or nose if not washed thoroughly with soap recently. Also
discourage hand shaking or hugs.",PC,FC,PC,PC,"Workers are
advised to follow
the rules"
"Arrange a mandatory site brief on COVID awareness in the
morning. The session must be conducted by the EHS/medical
professional.",PC,PC,PC,PC,"Contractor’s Focal
Person is advised
to ensure it in daily
toolbox meeting"
"While worksites are commonly well ventilated (if not make sure
the work sites are well ventilated), ensure that the camp sites
including the rooms designated for the camp dwellers are well
ventilated and spacious.",PC,FC,PC,PC,"Contractor is
advised to ensure"
