0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Mitigation and Monitoring Items,,,Unit,,,Total Unit,,,Cost/Unit,,,Total Cost,,,
,1. Workers Health and Safety,,,,,,,,,,,,,,
Safety Vest,,,nos,,,10,,,270,,,"2,700.00",,,
,Helmet,,,nos,,,10,,,350,,,"3,500.00",,
Safety shoes,,,nos,,,10,,,430,,,"4,300.00",,,
,Safety Goggles,,,nos,,,10,,,280,,,"2,800.00",,
Hand Sanitizer (5 Liter),,,nos,,,2,,,2600,,,"5,200.00",,,
,One time Face Mask,,,box,,,2,,,500,,,"1,000.00",,
Thermometer for measuring body temperature,,,no,,,1,,,1000,,,"1,000.00",,,
,Fire extinguisher,,,nos,,,2,,,1299,,,"2,598.00",,
First Aid Box,,,no,,,1,,,2500,,,"2,500.00",,,
,Sub-total excluding over-head profit & VAT =,,,,,,,,,,,,"25,598.00",,
Sub-total Including over-head & profit =,,,,,,,,,,,,"29,053.73",,,
,Add VAT with adjustment factor (VAT-7.5% &,,,,,,,,,,,"2,355.68",,,
,Factor-1.08108),,,,,,,,,,,,,,
"Total for item 1 including over-head, profit and
VAT =",,,,,,,,,,,,"31,409.41",,,
,2. Engineers Health and Safety,,,,,,,,,,,,,,
Safety Vest,,,nos,,,3,,,270,,,810.00,,,
,Helmet,,,nos,,,3,,,350,,,"1,050.00",,
Safety shoes,,,nos,,,3,,,1000,,,"3,000.00",,,
,Safety Goggles,,,nos,,,3,,,500,,,"1,500.00",,
Hand Sanitizer (5 Liter),,,nos,,,1,,,2600,,,"2,600.00",,,
,One time Face Mask,,,box,,,1,,,500,,,500.00,,
Thermometer for measuring body temperature,,,nos,,,1,,,1000,,,"1,000.00",,,
,First Aid Box,,,nos,,,1,,,2500,,,"2,500.00",,
"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"12,960.00",,,
,Sub-total including over-head & profit =,,,,,,,,,,,,"14,709.60",,
"Add VAT with adjustment factor (VAT-7.5% &
Factor-1.08108)",,,,,,,,,,,,"1,192.65",,,
,"Total for item 2 including over-head, profit and",,,,,,,,,,,"15,902.25",,,
,VAT =,,,,,,,,,,,,,,
"3.Training on Occupational Health and Safety, and COVID-19 Safety Protocol",,,,,,,,,,,,,,,
,Train on correct use and disposal of personal,,nos,,,1,,,10000,,,"10,000.00",,,
,protective equipment (PPE),,,,,,,,,,,,,,
"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"10,000.00",,,
,Sub-total Including over-head & profit =,,,,,,,,,,,,"11,350.00",,
"Add VAT with adjustment factor (VAT-7.5% &
Factor-1.08108)",,,,,,,,,,,,920.26,,,
,"Total for item 3 including over-head, profit and",,,,,,,,,,,"12,270.26",,,
,VAT =,,,,,,,,,,,,,,
"4. Water, Sanitation and Waste Disposal/Management",,,,,,,,,,,,,,,
,Supply of color-coded waste bins/pots for,,nos,,,2,,,2400,,,"4,800.00",,,
,different wastes,,,,,,,,,,,,,,
"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"4,800.00",,,
,Sub-total Including over-head & profit=,,,,,,,,,,,,"5,448.00",,
"Add VAT with adjustment factor (VAT-7.5% &
Factor-1.08108)",,,,,,,,,,,,441.72,,,
,"Total for item 4 including over-head, profit and",,,,,,,,,,,"5,889.72",,,
,VAT =,,,,,,,,,,,,,,
Grand Total =,,,,,,,,,,,,"65,471.64",,,
"Note: Considering Over-head 3.5%, Profit - 10%, VAT 7.5% (adjustment factor 1.08108)",,,,,,,,,,,,,,,
