0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Supply of color-coded covered waste bins/pots for,,nos,,,100,,,10,,,1000,,
,different wastes,,,,,,,,,,,,,
Cost for drinking water,,,nos,,,5000,,,1,,,5000,,
,"Cost for Sanitation facilities (hand tube well, latrine etc.)",,,nos,,,15000,,,1,,,15000,
Cost for safety notices/signboards/protocol at site,,,nos,,,500,,,2,,,1000,,
,Total excluding over-head & profit=,,,,,,,,,,,,22000,
Total Including over-head & profit=,,,,,,,,,,,,24970,,
,Add VAT with adjustment factor (VAT-7.5% &Factor-,,,,,,,,,,,2024.59,,
,1.08108),,,,,,,,,,,,,
"Total for item 4 including over-head, profit and VAT =",,,,,,,,,,,,26994.59,,
,Total Including over-head & profit,,,,,,,,,,,,,
Grand Total =,,,,,,,,,,,,"100,677.56",,
,"Note: Considering Over-head 3.5%, Profit - 10%, VAT 7.5%",,,,,,,,,,,,,
