0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Mitigation and Monitoring Items,,,Unit,,,,Total,,Cost/Unit,,,Total Cost,,,
,,,,,,,Units,,,,,,,,
Sub-total for item 4,,,,,,,,,,,,57179.455,,,
,5. Autoclave,,,,,,,,,,,,,,
Supply and installation of a 200L capacity vertical autoclave,,,Nos.,,,1,,,300000,,,300000,,,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,40500,,
Sub-total including over-head & profit =,,,,,,,,,,,,340500,,,
,Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,27608.08,,
Sub-total for item 5,,,,,,,,,,,,368108.08,,,
Grand Total =,,,,,,,,,,,,523290.176,,,
,"Note: Considering Over-head 3.5%, Profit - 10%, VAT 7.5% (adjustment factor 1.08108)",,,,,,,,,,,,,,
