0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mitigation and Monitoring Items,,,Unit,,,,Total,,Cost/Unit,,,Total Cost,,
,,,,,,,Unit,,,,,,,
,1. Workers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,Nos.,,,50,,,270,,,"13,500.00",,
,Helmet,,,Nos.,,,50,,,350,,,"17,500.00",
Safety shoes,,,Nos.,,,50,,,430,,,"21,500.00",,
,Safety Goggles,,,Nos.,,,50,,,280,,,"14,000.00",
Hand Sanitizer (5 Liter),,,Nos.,,,10,,,2500,,,"25,000.00",,
,One time Face Mask,,,Nos.,,,20,,,500,,,"10,000.00",
Thermometer for measuring body temperature,,,Nos.,,,2,,,1000,,,"2,000.00",,
,Fire extinguisher,,,Nos.,,,5,,,1300,,,"6,500.00",
Megaphone Handheld Loudspeaker,,,Nos.,,,2,,,2700,,,"5,400.00",,
,First Aid Box,,,Nos.,,,2,,,2500,,,"5,000.00",
Torch Light,,,Nos.,,,4,,,1090,,,"4,360.00",,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"124,760.00",
Sub-total Including over-head & profit =,,,,,,,,,,,,"141,602.60",,
,Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,"11,481.14",
"Total for item 1 including over-head, profit and VAT =",,,,,,,,,,,,"153,083.74",,
,2. Engineers Health and Safety,,,,,,,,,,,,,
Safety Vest,,,Nos.,,,12,,,270,,,"3,240.00",,
,Helmet,,,Nos.,,,12,,,500,,,"6,000.00",
Safety shoes,,,Nos.,,,12,,,500,,,"6,000.00",,
,Safety Goggles,,,Nos.,,,12,,,500,,,"6,000.00",
Hand Sanitizer (5 Liter),,,Nos.,,,2,,,2500,,,"5,000.00",,
,One time Face Mask,,,Nos.,,,5,,,500,,,"2,500.00",
Thermometer for measuring body temperature,,,Nos.,,,2,,,1000,,,"2,000.00",,
,First Aid Box,,,Nos.,,,2,,,2500,,,"5,000.00",
Torch Light,,,Nos.,,,2,,,1090,,,"2,180.00",,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"37,920.00",
Sub-total including over-head & profit =,,,,,,,,,,,,"43,039.20",,
,Add VAT with adjustment factor (VAT-7.5% & Factor-,,,,,,,,,,,"3,489.62",,
,1.08108),,,,,,,,,,,,,
"Total for item 2 including over-head, profit and VAT =",,,,,,,,,,,,"46,528.82",,
,"3.Training on Occupational Health and Safety, and COVID-19 Safety Protocol",,,,,,,,,,,,,
"Train on correct use and disposal of personal protective
equipment (PPE)",,,Nos.,,,3,,,2000,,,"6,000.00",,
,"Leaflet/poster for awareness among the workers, staffs and",,Nos.,,,1000,,,5,,,"5,000.00",,
,nearby communities,,,,,,,,,,,,,
"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"11,000.00",,
,Sub-total Including over-head & profit =,,,,,,,,,,,,"12,485.00",
Add VAT with adjustment factor (VAT-7.5% & Factor-1.08108),,,,,,,,,,,,"1,012.28",,
,"Total for item 3 including over-head, profit and VAT =",,,,,,,,,,,,"13,497.28",
"4. Waste Management, Potable Water Supply and Sanitation Facility",,,,,,,,,,,,,,
,Supply of color-coded waste bins/pots for different wastes,,,Nos.,,,10,,,2400,,,"24,000.00",
Cost for drinking water,,,Nos.,,,2,,,10000,,,"20,000.00",,
