0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Mitigation and Monitoring Items,,,Unit,,,,Total,,Cost/Unit,,,Total Cost,,,
,,,,,,,Unit,,,,,,,,
,"Cost for Sanitation facilities (hand tube well, latrine etc.)",,,Nos.,,,1,,,25000,,,"25,000.00",,
Cost for safety notices/signboards/protocol at site,,,Nos.,,,5,,,400,,,"2,000.00",,,
,"Sub-total excluding over-head, profit & VAT =",,,,,,,,,,,,"71,000.00",,
Sub-total including over-head & profit =,,,,,,,,,,,,"80,585.00",,,
,Add VAT with adjustment factor (VAT-7.5% & Factor-,,,,,,,,,,,"6,533.83",,,
,1.08108),,,,,,,,,,,,,,
"Total for item 4 including over-head, profit and VAT =",,,,,,,,,,,,"87,118.83",,,
Grand Total =,,,,,,,,,,,,"300,228.67",,,
,"Note: Considering Over-head 3.5%, Profit - 10%, VAT 7.5% (adjustment factor 1.08108)",,,,,,,,,,,,,,
