0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
তারিখঃ,,,,,,,,,,,,,,08-05-2023 ইং,,
ক্রঃ নং,রেৈারগি নাম,"হািপাতারলি নাম
পরিচালক/তত্ত্বােধায়রকি নাম ও জমাোইল নম্বি",জেড িংখ্যা,,,জৈরন্টরলটি,ৈরতকৃেত জিাগীি িংখ্যা,,,"গত ২৪ ঘন্টায়
ৈরত েজিাগীি
িংখ্যা","গত ২৪ ঘন্টায়
োড়প্রাপ্ত
জিাগীি িংখ্যা","অরক্সরেন
রিরলন্ডারিি িংখ্যা","হাইরলা
জনোল
কযারনালা","অরক্সরেন
কনরিনরট্রইটি","জিরাল অরক্সরেন
লাইন",মন্তব্য
,,,জেনারিল জেড,আইরিইউ জেড,এইচ রড ইউ জেড,,,,,,,,,,,
,,,,,,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,,,,,,
১,িংপুি,"িংপুি জডরডরকরটড করিানা হািপাতাল, িংপুি",৯০,৮,০,৮,০,০,০,০,০,৩৬,১৮,১২,আরে,
২,,"িংপুি জমরডরকল করলে হািপাতাল,িংপুি।",৭১,০,০,০,০,০,০,০,০,১২,১১,১,আরে,
৩,,"এম আব্দুি িরহম জমরডরকল করলে হািপাতাল,রদনােপুি।",১৭৩,১৬,১১,৮,০,০,০,০,০,৮৭২,১৬,১৮,আরে,
৪,,"রদনােপুি িদি হািপাতাল,রদনােপুি।",৭৫,০,০,০,০,০,০,০,০,১৮৪,৩,৫,আরে,
৫,,"আধুরনক িদি হািপাতাল, পঞ্চগড়",৪২,০,০,১,০,০,০,০,০,৪,৪,৬,নাই,
৬,,"২৫০ েয্যা রেরেষ্ট হািপাতাল,নীলফামািী",১০০,০,০,০,০,০,০,০,০,১৪৬,৫,৫,আরে,
৭,,"সিয়দপুি ১০০ েয্যা রেরেষ্ট হািপাতাল,সিয়দপুি,নীলফামািী",৩০,০,০,০,০,০,০,০,০,৩৬,২,৩,আরে,
৮,,"২৫০ েয্যা জেনারিল হািপাতাল , কুরড়গ্রাম",১০০,০,০,৪,০,০,০,০,০,১৮৯,০,২০,আরে,
৯,,"ঠাকুিগাও আধুরনক িদি হািপাতাল, ঠাকুিগাও",২০০,০,০,২,০,০,০,০,০,১০৭,৩,১৮,আরে,
