0,1,2,3,4,5
"ক্ররমক
িাং",,প্ররতষ্ঠাি (আরটি রপরসআর),সকারভড-১৯ আরটি রপরসআর পরীক্ষা,,
,,,িমুিা সাংগ্রহ (২৪ ঘণ্টা),িমুিা পরীক্ষা (২৪ ঘণ্টা),সবদবমার্ পরীক্ষা
১,সরকারর,ন্যাশিাল ইিরিটিউর্ অব ল্যাবদরর্রর সমরডরসি এন্ড সরফাদরল সসন্টার,0,0,1414052
২,,"সরাগতত্ত্ব, সরাগ রিয়ন্ত্রণ ও গদবষণা ইিরিটিউর্ (আইইরডরসআর)",0,0,511360
৩,,ন্যাশিাল সপারলও রমদজলস ল্যাবদরর্রর (এিরপএমএল) - আইরপএইচ,0,0,390496
৪,,ঢাকা সমরডদকল কদলজ,0,0,101858
৫,,"শহীে সসাহরাওয়ােী সমরডদকল কদলজ, ঢাকা",0,0,56118
৬,,"স্যার সরলমুল্লাহ সমরডদকল কদলজ, ঢাকা",0,0,68766
৭,,"কুরমদবর্ালা সজিাদরল হাসপাতাল, ঢাকা",0,0,78018
৮,,"মুগো সমরডদকল কদলজ, ঢাকা",0,0,87963
৯,,"রড, এি,রস, রস",0,0,0
১০,,"ফররেপুর সমরডদকল কদলজ, ফররেপুর",0,0,129015
১১,,িারায়ণগঞ্জ ৩০০ শয্যারবরশষ্ট হাসপাতাল,0,0,153050
১২,,চট্টগ্রাম সমরডদকল কদলজ,0,0,162084
১৩,,"বাাংলাদেশ ইিরিটিউর্ অব েরপকযাল এন্ড ইিদফকসাস রডরজদজস
(রবআইটিআইরড), চট্টগ্রাম",0,0,323751
১৪,,কুরমল্লা সমরডদকল কদলজ,0,0,263305
১৫,,কিবাজার সমরডদকল কদলজ,0,0,385440
১৬,,"সিায়াখালী সমরডদকল কদলজ, সিায়াখালী",0,0,385374
১৭,,ময়মিরসাংহ সমরডদকল কদলজ,0,0,219881
১৮,,"রাজশাহী সমরডদকল কদলজ, রাজশাহী",0,0,161183
১৯,,রাংপুর সমরডদকল কদলজ,0,0,100291
২০,,"শহীে রজয়াউর রহমাি সমরডদকল কদলজ, বগুড়া",0,0,118789
২১,,"রেিাজপুর সমরডদকল কদলজ, রেিাজপুর",0,0,109439
২২,,রসদলর্ এমএরজ ওসমািী সমরডদকল কদলজ,0,0,159035
২৩,,সাতক্ষীরা সমরডদকল কদলজ,0,0,22276
,সরকারর সবসরকারর বতমব াদি সচল RT-PCR ল্যাদবর তথ্যারে,,,,
