0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ক্ররৈক
নং","হািপাতারলি নাৈ
পরিচালরকি/তত্ত্বােিােরকি নাৈ ও জৈাোইল নং",জেড িংখ্যা,,,জভরন্টরল ি,ভরতকৃিত জিা ীি িংখ্যা,,,"ত ২৪ ঘন্টাে
ভরত িজিা ীি িংখ্যা","ত ২৪ ঘন্টাে
োিপ্রাপ্ত জিা ীি
িংখ্যা","অরিরেন
রিরলিারিি িংখ্যা","হাই জলা
জনোল
কযারনালাি
িংখ্যা","েতৈিারন
ব্যােহৃত
হাই জলা জনোল
কযারনালা","অরিরেন
কনরিনরে ি","জিন্ট্রাল অরিরেন
লাইন",ৈন্তব্য
,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,,,,,,,
,,,,,,,,,,,,,,,,
১,"চট্টগ্রাৈ জৈরডরকল করলে হািপাতাল
রির রডোি জেনারিল এি এৈ হুৈায়ুন ০১৭-৬৯-২৪৭৫৬৮",৩০০,১০,১০,১০,০,০,০,০,০,৩৩৫,৩৮,০,২০,আছে,
২,"রেআইটিআইটি, জফৌেোিহা , চট্টগ্রাৈ
অধ্যাপক ডা: জৈা: আবুল হাোন জচৌধুিী। পরিচালক ০১৮১৯৩১০৬০২",৪৫,৫,০,০,০,০,০,০,০,২৩০,১০,০,৩২,আছে,
৩,"২৫০শয্যা রেরশষ্ট জেনারিল হািপাতাল, চট্টগ্রাৈ
ডাঃ অরিৈ কুৈাি না্, (ভািপ্রাপ্ত তত্ত্বােিােক)",১৫৮,১৮,৬,১৮,০,০,০,০,০,৩৫০,১৫,০,৯,আছে,
৪,"হরল রক্ররিন্ট হািপাতাল, চট্টগ্রাৈ
ডা: ৈরনাোি জহারিন, িহকািী পরিচালক ০১৭৫৪৮৯১২৩৯",৫০,১০,০,৬,০,০,০,০,০,৬২,২,০,৭,আছে,
৫,"চট্টগ্রাৈ জিলওরে হািপাতাল, চট্টগ্রাৈ
ডাঃ নুরুল আেোি,িহকািী পরিচালক ০১৮২৪৯০৩৪৯৯",৫৪,০,০,০,০,০,০,০,০,২১,০,০,০,নাই,
৬,"চট্টগ্রাৈ ৈা ও রশশু হািপাতাল, আগ্রাোে, চট্টগ্রাৈ
ডাঃ জৈাঃ নুরুল হক,পরিচালক (প্রশািন) ০১৭-১১-১১০৭১৪",১৫২,২০,০,৪,০,০,০,০,০,৬৫,২৫,০,৭,আছে,
৭,"আল ৈানারহল নাচািি জেনারিল হািপাতাল, হারলশহি, চট্টগ্রাৈ
জৈাোইল নং-০১৮১৪৮৯৮৮০৩",১৮,০,০,০,০,০,০,০,০,২৪৩,৯,০,৭,আছে,
৮,"রি এৈ রপ রেদ্যানন্দ রফল্ড হািপাতাল, িা রিকা জিাড, পাহািতলী, চট্টগ্রাৈ",৫০,০,০,০,০,০,০,০,০,৮৪,৪,০,৩,আছে,
৯,"রেরেএৈইএ জকারভড-১৯ রফল্ড হািপাতাল, চট্টগ্রাৈ েনাে জৈাহাম্মে ৈহিীন
জচৌধুিী প্রশািক (রি: অরতরিক্ত িরচে) জৈাোইল - ০১৫৫৪৩৩৭৭৪৮",৪০,১,০,০,০,০,০,০,০,৪৭,৫,০,১,আছে,
১০,"আলহাে¦ জৈাস্তাফা-হারকৈ করিানা আইরিারলশন
ডা: জৈেোহ উিীন তুহীন (তত্ত্বােিােক)-০১৮১৯৩৭৮৩৮৩",৫০,০,০,০,০,০,০,০,০,৩০,০,০,০,নাই,
চট্টগ্রাম জেলার জমাট,,৯১৭,৬৪,১৬,৩৮,০,০,০,০,০,১৪৬৭,১০৮,০,৮৬,৮ টি,
সর্ছবমাট,,৫৩৩৪,৭৯২,৫৩৬,৬৫৯,০,০,০,০,০,১১৫২৩,১১৩৮,১৭,৫৫১,৫৫ টি,
,,,,,,,,,,,,,,,,
,** হাইলাইটকৃত স্থানে তথ্য আপনেট করা হনেনে।,,,,,,,,,,,,,,,
,*** হাইলাইটকৃত স্থানে জেোনরল জেনের তুলোে জেশি জরাগী ভশতি আনে।,,,,,,,,,,,,,,,
,,,,,,"ডা. মুহাম্মে োরহদুল ইিলাৈ
রডরপএৈ ই-জহল্, এৈআইএি
ইনচােি",,,,,,,,,,
"জহলথ্ ইৈারেন্সিী অপারিশন জিন্টাি ও করন্ট্রাল রুৈ
স্বাস্থ্য অরিেপ্তি, ৈহাখালী, ঢাকা। হ লাইন: ০১৭৫৯-১১৪৪৮৮
জ রলরফান নং: ০২-২২২২৮৫৯৩৩, ০২-২২২২৯৭৩৫৩
ই-জৈইল: controlroomdghs@yahoo.com",,,,,,,,,,,,,,,,
