0,1
Table 1: Tumour board decision regarding treatment (n=9862),6
Table 2: System wise distribution of the cancers,7
Table 3: Demographic characteristics of the cancer patients,8
Table 4: Top 10 malignancies,9
Table 5: Top 10 cancers in male,9
Table 6: Top 10 cancers in female,10
Table 7: Site of paediatric cancer (N=340),11
Table 8: Morphology of paediatric cancer (N=340,12
Table 9: Primary site of geriatric cancers (n=2291),13
Table 10: Morphology of geriatric cancer (N=2291),14
Table 11: Head & Neck cancer,16
Table 12: Respiratory System cancer,18
Table 13: Morphology of lung cancer (N=1995),19
Table 14: Primary site of GI cancer,23
Table 15: Cancer of female genital organs,25
Table 16: Morphology of cervical cancer (N=894),26
Table 17: Cancer of male genital organs,30
Table 18: Cancers of kidney & related organs,33
,
