0,1,2,3,4,5,6,7,8,9
,,,,,,,,,Percent
,ICD-O,,,Primary site,,,Frequency,,
,,,,,,,,,
,,,,,,,,,21.9
,C00-C14,,,Respiratory system and intrathoracic organs,,,2436,,
,,,,,,,,,
,,,,,,,,,19.2
,C15-C26,,,Digestive organ,,,2131,,
,,,,,,,,,
,,,,,,,,,12.6
,C30-C39,,,Breast,,,1396,,
,,,,,,,,,
,,,,,,,,,11.1
,C40-C41,,,"Lip, oral cavity and pharynx",,,1238,,
,,,,,,,,,
,,,,,,,,,10.4
,C42,,,Lymph nodes,,,1160,,
,,,,,,,,,
,,,,,,,,,10.4
,C44,,,Female genital organs,,,1158,,
,,,,,,,,,
,,,,,,,,,2.2
,C47,,,Urinary tract,,,241,,
,,,,,,,,,
,,,,,,,,,2.0
,C48,,,Haemopoietic and reticuloendothelial systems,,,224,,
,,,,,,,,,
,,,,,,,,,2.0
,C49,,,"Bones, joints and articular cartilage",,,220,,
,,,,,,,,,
,,,,,,,,,1.7
,C50,,,"Eye, brain and other parts of CNS",,,194,,
,,,,,,,,,
,,,,,,,,,1.7
,C51-C58,,,"Connective, subcutaneous and other soft tissues",,,187,,
,,,,,,,,,
,,,,,,,,,1.3
,C60-C63,,,Male genital organs,,,139,,
,,,,,,,,,
,,,,,,,,,0.8
,C64-C68,,,Thyroid and other endocrine glands,,,90,,
,,,,,,,,,
,,,,,,,,,0.6
,C69-C72,,,Skin,,,71,,
,,,,,,,,,
,,,,,,,,,0.5
,C73-C75,,,Other ill defined sites,,,51,,
,,,,,,,,,
,,,,,,,,,0.2
,C75,,,Retroperitoneum and peritoneum,,,18,,
,,,,,,,,,
,,,,,,,,,0.0
,C77,,,Peripheral nerve and autonomic nervous system,,,4,,
,,,,,,,,,
,,,,,,,,,1.4
,C80,,,Unknown primary site,,,150,,
,,,,,,,,,
,,,,,,11108,,,100.0
,C00-C80,,,Total,,,,,
,,,,,,,,,
