0,1,2,3,4,5,6,7,8,9,10
ICD-O,Primary site of tumour,Age group,,,,,,,,
,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,=>75,Total
C00,LIP,0,1,0,2,7,4,1,1,16
C01.9,Base of the tongue,3,5,4,6,7,8,1,0,34
C02.4,Lingual tonsil,2,0,1,1,3,2,0,0,9
C02.9,Tongue,1,2,8,7,21,10,10,2,61
C03.9,Gum,1,0,0,2,3,4,0,2,12
C04.9,Floor of the mouth,0,0,2,4,4,5,2,0,17
C05.0,Hard palate,0,1,0,2,3,1,1,0,8
C05.1,Soft palate,0,0,3,5,1,3,1,1,14
C05.9,Palate,0,1,1,0,7,1,1,3,14
C06.0,Cheek /buccal mucosa,0,3,3,19,41,45,17,12,140
C06.9,Oral cavity/Buccal cavity,0,0,0,5,9,5,8,1,28
C07.9,Parotid Gland,1,1,1,8,1,5,1,0,18
C08.0,Sub mandibular/maxillary gland,1,2,3,6,7,12,4,3,38
C09.0,Tonsillar fossa,0,0,0,2,1,0,0,0,3
C09.9,Tonsil,0,1,0,2,8,7,3,0,21
C10.0,Valecula,0,0,0,0,1,0,0,0,1
C10.4,Branchial cleft,0,0,0,0,1,0,2,0,3
C10.9,Oropharynx,0,0,0,1,0,0,1,0,2
C11.9,Nasopharynx,0,3,2,2,2,1,1,0,11
C12.9,Pyriformsinus/fossa,2,0,0,0,2,3,0,1,8
C13.1,Aryepiglotic fold,0,0,0,0,0,1,0,0,1
C13.9,Hypopharynx,0,0,0,0,2,1,0,0,3
C14.0,Pharynx,0,0,0,0,1,2,1,0,4
C15.0,Cervical oesophagus,0,3,2,8,8,10,2,1,34
C15.2,Abdominal oesophagus,0,0,0,0,1,2,0,0,3
C15.4,Middle 3rd of oesophagus,0,0,1,0,0,0,0,0,1
C15.9,Oesophagus,0,1,1,13,44,37,27,12,135
C16.9,Stomach,0,3,14,34,33,29,11,8,132
C17.1,Jejunum,0,0,3,2,2,3,3,0,13
C17.2,Ileum,0,0,1,2,1,0,0,0,4
C18.0,Cecum,0,1,1,2,0,0,0,0,4
C18.2,Ascending colon,0,0,0,0,0,1,0,0,1
C18.3,Hepatic flexure,0,0,0,0,0,1,0,1,2
C18.7,Sigmoid colon,0,0,1,3,1,0,1,0,6
C18.9,Colon,0,3,3,11,5,4,4,0,30
,Rectosigmoid junction,0,0,0,1,3,0,0,0,4
