0,1,2,3,4,5,6,7,8,9,10,11
ICD-O,Primary site of tumour,Age group,,,,,,,,,
,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,Total
C00,LIP,0,1,0,0,1,1,0,0,0,3
C01.9,Base of the tongue,0,0,0,0,0,0,1,0,0,1
C02.9,Tongue,0,0,4,10,41,49,31,11,5,151
C04.9,Floor of the mouth,0,0,0,1,1,1,0,0,0,3
C05.0,Hard palate,0,0,0,1,0,0,3,0,0,4
C05.1,Soft palate,0,0,1,0,1,5,0,0,0,7
C05.2,Uvula,0,0,0,0,0,0,1,0,0,1
C05.9,Palate,0,0,0,1,2,3,3,1,0,10
C06.0,Cheek /buccal mucosa,1,1,6,12,25,29,14,6,0,94
C06.1,Vestibule of mouth,0,0,0,0,0,1,0,0,0,1
C06.9,Oral cavity/Buccal cavity,0,0,1,1,7,4,2,0,0,15
C07.9,Parotid Gland,1,2,7,1,6,4,2,0,0,23
C08.0,Sub mandibular/maxillary gland,2,3,2,7,7,19,13,1,2,56
C09.0,Tonsillar fossa,0,0,0,1,2,3,2,1,0,9
C09.9,Tonsil,0,0,2,4,20,23,18,7,1,75
C10.0,Valecula,0,0,1,0,2,1,2,0,0,6
C10.4,Branchial cleft,0,0,0,1,3,7,12,2,1,26
C10.9,Oropharynx,0,1,0,1,0,1,0,0,1,4
C11.9,Nasopharynx,1,5,4,5,5,4,3,0,1,28
C12.9,Pyriformsinus/fossa,0,0,4,9,15,36,32,11,1,108
C13.1,Aryepiglotic fold,0,0,0,0,0,1,0,1,0,2
C13.9,Hypopharynx,0,0,0,1,1,2,1,0,1,6
C14.0,Pharynx,0,2,1,1,3,7,4,4,1,23
C15.0,Cervical oesophagus,1,1,0,3,4,1,0,0,0,10
C15.9,Oesophagus,2,0,10,35,91,106,93,21,7,365
C16.3,Gastric antrum,0,0,1,0,2,0,0,0,0,3
C16.9,Stomach,0,4,18,25,86,77,61,25,3,299
C17.0,Duodenum,0,1,0,0,2,0,0,0,0,3
C17.1,Jejunum,0,0,0,0,0,1,0,0,0,1
C17.2,Ileum,0,0,0,1,0,1,1,1,0,4
C18.0,Cecum,0,0,0,3,3,1,2,0,0,9
C18.3,Hepatic flexure,0,1,0,0,3,0,2,0,0,6
C18.7,Sigmoid colon,0,2,1,0,0,1,1,0,0,5
