0,1,2,3
Primary site of tumour,Sex,,Total
,Male,Female,
Nasal cavity,6 (0.3),1 (0.2),7 (0.2)
"Middle ear, inner ear",7 (0.3),4 (0.9),11 (0.4)
Maxillary sinuses,14 (0.6),13 (2.9),27 (1.0)
Frontal sinuses,7 (0.3),1 (0.2),8 (0.3)
"Glottis, Vocal cord",115 (4.9),9 (2.0),124 4.4 ()
"Supraglottis, Epiglottis
Larynx","132 (5.6)
177 (7.5)","15 (3.4)
26 (5.8)","147 (5.2)
203 (7.2)"
Bronchous,83 (3.5),22 (4.9),105 (3.7)
Lung,1762 (74.5),322 (72.4),2084 (74.2)
Pleura,62 (2.6),32 (7.2),94 (3.3)
Total,2365 (100.0),445 (100.0),2810 (100.0)
