0,1,2,3,4
Institute,"Sl
no",Research Title,Principal Investigator,"Page
Number"
"(A) Dhaka Medical
College Hospital
(DMCH)",1.,"Preparedness and response
regarding COVID-19 crisis
management at tertiary level
health center and clients’
satisfaction: Experience from
Dhaka Medical College
Hospital","Dr. Md. Ashraful Alam
Assistant Director, DMCH",1-2
,2.,"Efficacy and safety of oral
tofacitinib in moderate to
severe chronic plaque
psoriasis","Dr. Md. Shah Alam
IMO, DMCH",3
,3.,"COVID-19 vaccine
adherence of community
people and their behavioral
changes in the new normal
context of the coronavirus
pandemic: a mixed method
study","Brig. Gen. Dr. Md. Nazmul
Haque
Director, DMCH.",4
,4.,"The difference in the
presentation and outcomes of
the COVID-19 among the
first, second and third surge
in Dhaka Medical College","Dr.Reaz Mahmud
Assistant Professor,
Neurology, DMCH",5-6
,5.,"Neuropsychiatric
manifestations and their
impact in post-COVID-19
condition: a study in a tertiary
care center in Bangladesh.","Dr. Md. Zahid Hossain
Associate professor,
Medicine, DMCH",7
"(B) National Institute of
Cancer Research and
Hospital (NICRH)",6.,"Profile of cervical cancer
patients attending at NICRH,
Dhaka: A five years
prospective study","Professor Dr. Habibullah
Talukder",8-9
,7.,"Molecular stratification of
Breast Cancer scenario in
patients attending at NICRH,
Dhaka","Professor Dr. Rakib Uddin
Ahmed",10
,8.,"Demographic stratification
and evaluation of disease
burden and implication of G8
questionnaires in elderly
cancer patients attending at
NICRH, Dhaka","Dr. Muhammad Rafiqul
Islam",11-12
,9.,"Evaluation of Effectiveness of
conventional chemotherapy
to Acute Myeloid Leukemia
(AML) patients attending at
NICRH",Dr. Salina Haque,13-14
